Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","5.331","10.656","0.37","0.37","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","0-3ea14dc1a979e3f9a0cb26fbd55593f546eaf51992cd0cafd1201217e8f2130f","0-bb9d082a1ef8ce89369d7e99ee8d6a8c30a3fdd67b4e7cdc2e81089ba7677953","root.record.ItemExhibitList.P5Item"
"Air Force Active","8.475","3.171","4.607","4.607","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","0-08e62dcba0bcbee5cbc79f3dfc9a24350b9058e0078a3f2cee4ba8fddb8894a7","1-91f98afaa74027fe4fdbb4fb1c136983ea7079d6bf77a408fcba40e9e603ffab","root.record.ItemExhibitList.P5Item"
"Air Force Active","0.986","0.117","1.075","1.075","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","0-a84b39e57726363f1a868844a7aff78dffcb00edf8047e2a9fea615653ac0aa5","2-2aa40edf7dbdefecbdb8745d04f4ef252b116fb6a3051e5141015081e766c425","root.record.ItemExhibitList.P5Item"
"Air Force Active","","4.62","0.283","0.283","","","","","","30","1","1","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","0-cc3a296d6e08070a159e0366feffd3bcbb35a5f4f3e0d0e972b0bd236f85ad78","3-383145823aae49ff2a09a69f567748ec09d98a93332ff80328a304c3271d7576","root.record.ItemExhibitList.P5Item"
"Air Force Active","5.02","2.913","0.28","0.28","","","","","","3","","","4","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","0-315dce9005f15831c46646f5f6663d5d667f1cf4112f49d825ae10ccde89c29c","4-f0f125e7d23fb0d98c127af327e4033ff7e900747a0015261af39cc5ee38ec15","root.record.ItemExhibitList.P5Item"
"Air Force Active","5.331","10.656","0.37","0.37","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2a56ba7f7230f7e441cfbc2168a761a431a6224c90339f05c093064a079e555f","0-fff1c491f5789debb24b016300f86af438a2f876e04333041fd10f153482e186","0-acc45bc73c8814bf3d6468041657d43b7e6ecaa3e5871abe44222caf43dbbcb5","root.record.ItemExhibitList.P5Item"
"Air Force Active","8.475","3.171","4.607","4.607","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2a56ba7f7230f7e441cfbc2168a761a431a6224c90339f05c093064a079e555f","0-a4d4657906628860af6174cd1344efb2cd03f0cc6f5f6ba98c75e89388445e84","1-a4e359edab33a245c643a96e5e933a3e4ded326adf305b74bc959896150a9470","root.record.ItemExhibitList.P5Item"
"Air Force Active","0.986","0.117","1.075","1.075","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2a56ba7f7230f7e441cfbc2168a761a431a6224c90339f05c093064a079e555f","0-c6601b11daa3021e902148c1c3038570f17da88fb317a89666246ef8bc895a87","2-ebb001959da80caa424e235faaf43d5539ef4e736de8581f6f8a7e94b2f9b405","root.record.ItemExhibitList.P5Item"
"Air Force Active","","4.62","0.283","0.283","","","","","","30","1","1","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2a56ba7f7230f7e441cfbc2168a761a431a6224c90339f05c093064a079e555f","0-ed341807ff1b4756330dbc130e1d1c1542bcca93d5ce842c04d5a359405b19bd","3-c649868db705f51eb5339d4d06f1b5ecf0e5f8563bde41c5e6c91d38468273fd","root.record.ItemExhibitList.P5Item"
"Air Force Active","5.02","2.913","0.28","0.28","","","","","","3","","","4","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2a56ba7f7230f7e441cfbc2168a761a431a6224c90339f05c093064a079e555f","0-c796b1bc5b5c2b3e38aa36f21f1f7124dc61e15f3afe668c406aab3c0fda4dbf","4-d13d4ec3259377dfd5fd078ac8ab782d1a0674aa89f4f675cf89b28338406ae8","root.record.ItemExhibitList.P5Item"
"Air Force Active","1.037","1.061","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d5ab952bad38abf514ec5d7d7786e65ed21d044ead8449b807a4dd6822e3ee1","0-697ef8a793bde2e4c66481591ec907561ce648128cdcf73b896320aa24dcedc6","0-5bd4199628fd19f8af2084b037b7543296c0bda0b887a0bfd8360650047c5d3b","root.record.ItemExhibitList.P5Item"
"Air Force Active","0.828","0.837","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d5ab952bad38abf514ec5d7d7786e65ed21d044ead8449b807a4dd6822e3ee1","0-a770e28a219365d0690829245389808cb58787f861f53f0fc10b57314fce4753","1-e49d3f9516becae3b947c62b8e33efabaa177057aa0ee3ff21d3587079050a0b","root.record.ItemExhibitList.P5Item"
"Air Force Active","15.202","4.453","19.76","19.76","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d5ab952bad38abf514ec5d7d7786e65ed21d044ead8449b807a4dd6822e3ee1","0-a27d953a9299d2e82d5b46498634689af02f4c18bfc2c770514edfc96aa7d967","2-44610c1c21f3d47e446901c621b524a8a59b16018acf784a2ca0bb4c0786c502","root.record.ItemExhibitList.P5Item"
"Air Force Reserve","0.603","0.654","2.025","2.025","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","0d5ab952bad38abf514ec5d7d7786e65ed21d044ead8449b807a4dd6822e3ee1","1-c54fc59bcac63d42422253ad95a8f65cd03ac58e4526c1e56bffad14aa97960f","2-44610c1c21f3d47e446901c621b524a8a59b16018acf784a2ca0bb4c0786c502","root.record.ItemExhibitList.P5Item"
