val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"0604800F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","0-1b6f110c6bc93948aa26d5d627358808f9449ecb4163251ba68927573f358457","48-38fc778b328e253f60387e60f0f3278e2dc86e6ca6980cc82743a3dc20b1bb26","root"
"0604800F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","dff12d9c9c56d1f1f59d6607af44ce23b8ed427d17b04c39d5703919f4248df7","0-a2c27494fd11d7979d2633fd825314fb14a429fc8cd5deabf576d8a5fba2c73c","49-7089ff2fe2b1358e72c301b3977903761a337157b3766c98013000c3b9107417","root"
"0604263F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a8f75288ce0b7460de0552003c541050c721835977c7e3ce933de372fd6e6219","0-6394f26cc3c47a8cd14a405666fc70216f0ca3402f276b82cef5369225e7db6f","54-6c3e470ada375c88bc39d62fa81b04b2685e77b17403aa3f7a77d9ac1ea98601","root"
"0207138F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-65d186eca133d9c7bae330f07852a83e5b00f594bdd7eb66e709ed92b4003611","60-ac3e0f3823c1e8db3be9090fd4b8e652f0e072abe193696c8f57e471a497d7d3","root"
"0604239F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","1-618895e800a3ed5c49fbf68bd6317cfe943cb8be3e6cff2f5a3124fec73d35fc","60-ac3e0f3823c1e8db3be9090fd4b8e652f0e072abe193696c8f57e471a497d7d3","root"
"0408011F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f91bb0eaec14b11654bb7470bdb8dd674cc6d331264ea5d8d30e080a2b92f183","0-97579d5e039c36dc30280d48618654c933acf1c638b026152fa7f9d35ec0a679","61-366d8f29889ae4aabd90451cc3757af44defefd01d8912538ef70dfbc3221234","root"
"0305116F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-94e35e489e794f6c0bcd0a323a9ffd49697de4073d1c2be56f2a28fa7a64d2dc","63-63ff9f97696ca0391f1ee6a8e64a1b535175030b896389ec03de860a8f3be04d","root"
"0605278F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","268080875a59f69f59d08ff7ec420975c591627aa2c33ed4d9603b68593f51e0","0-d378cfd8e45b93894801eade373fdddff99983fd21a27dc0a5d56b0b2026ec73","67-ea04ffbf291aac916bdeb7b35091a260cef33c352e8baec674b01f50b9e57528","root"
"0207224F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","268080875a59f69f59d08ff7ec420975c591627aa2c33ed4d9603b68593f51e0","1-c2d03ab4cf5ceefdffc7d2a3b3cb373f35581aa104ef6de53add9162c234fdd2","67-ea04ffbf291aac916bdeb7b35091a260cef33c352e8baec674b01f50b9e57528","root"
"0207230F","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","268080875a59f69f59d08ff7ec420975c591627aa2c33ed4d9603b68593f51e0","2-c2ebced3540dd32e7bdf247d36718026c6ba6caf3f2fecc098f4688c07061e8c","67-ea04ffbf291aac916bdeb7b35091a260cef33c352e8baec674b01f50b9e57528","root"
