Name_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_ToComplete_val,Cost_Total_val,Cost_BudgetYearOneBase_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_Continuing_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@LessOrPlus,@PARENTROWID,@PARENT
"Interim Ctr Support","0.000","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-434df1943a2334b15dee50ef213cf877d054181d4c922e6c35f2d338383ca856","","60-ac3e0f3823c1e8db3be9090fd4b8e652f0e072abe193696c8f57e471a497d7d3","root"
"Interim Ctr Support","0.000","0.000","","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fcd3302e2a56aab9f3323c75acbe98156cafb50a444dd180cca3a72d5909b1e","0-b9faefdf02565748b378b34bc69d36b767f776beb6fca633ed758c3a81bd9d16","","71-bcc1cebd0db77ea97c1d736bcc69336e3700944129e426eac074e3fc1528a8af","root"
"Interim Ctr Support","","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4514f885e09a56664f877e4001867ddf1e68d889e3b6fd9970c34470beea0fc5","0-fff20f538451280e591daeea46c58689db607bb5a597c391e246fc16d0039f3d","","76-58d325287dd73d48bc3c1210e675338026344a215a5f57eb54a6346c64d88fbf","root"
"Interim Ctr Support","","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d51770f5fe0f2bedfed7672ef19fc26fdab03ec01e0862857017ad049e29afc","0-4a721a6c89bb79df4a065a6925d3a594ab51b10d47e73f0adf8e01ff8dade28c","","77-abe28ebab9a3111b1df54c2a7b9f92fb41a68489613480cc9f308b1a4e890627","root"
"Interim Ctr Support","0.000","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","601ae9dd8603462a448ce4d407a902973eb716363e80382a2192b3c80a95bac8","0-2706a1c8c88e8ef44b2905fc45bc567b3a915cae851d4f8efd4b5809fe15023a","","110-8a00105ceedc04ab6b0c5c314737e10d13ddba5751227145d2903196259f1a16","root"
"Interim Ctr Support","0.000","0.000","","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","2a03adfaee1efb83c42f81e0f6dc43dae3e0a0aa4ddb0621146d11486e6d16a1","0-a950529b23347c057e593934ed3fc8ec1521891b3d43ed42a81d4c6a3b265df9","","121-33f41198575849ffd0616e276c0b1c3d714325b4aa3977bce4c05a8334754ecf","root"
"Interim Ctr Support","","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e01a1d75ce1bf389da923d4521524fd76674c82d604e703ceb49fcf685c612fb","0-84ca6e32c9c08cbad7783550fb2e53a2b478b03297bcb02315aae3cbc35e86f3","","125-6a84bac9b4a05b8037f659bf88adad75dac7a608e80181fd390fb688a02b6d39","root"
"Interim Ctr Support","","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e90f3d90e9dd10fc11b0e62320b8d0fb8d8b6719f625e0e4080ca4651683e9b6","0-5e07c2c34d49258653f0e04e9b4811b9b83e3ac71a62544d1b0d4b3e8a919180","","126-05416e00fcc5a7c1984617dcbead890462f70037ed332d0f254ff60507582166","root"
"Interim Ctr Support","0.000","0.000","0.000","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","9dd66c90956de6fb6fc18d284df72a8cc1caab1358115d5f2865730d167b4a3b","0-03093c5262f076846806593b9ceed26f89537cabcc607146da437d32a467f41f","","158-58567ce940fca9c9a1cf0b3caddbcf112219aeac0ba5b6c6c35bc298357b3d2f","root"
"Interim Ctr Support","0.000","0.000","","0.000","0.000","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e98a1639b6410a7ac419ba3ee045d384f7b099d11f2798b62e55d93d03717eff","0-74b099fd8f41668d6c96dc57d9ee05d30c75649b0444ee72f5fff55f43ff3fab","","169-7da28312baf2cc48d26b018a56d8045e4aa7c8b1180061aee0db58854b7099a9","root"
