Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2014-05","2","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","0-c7731cd592579db866cdf6a321677bd97985b3dd05d0b6c6e74e10879e13df59","0-cbc992d3337674de8e0560ffb0d73725e8ab7f2a64276cb75bf2eaa2242f7d7c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-06","2","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","183e2235a8702efde29fd338dbfb0e070b9a0e22f45c0daf1850fb81f56857fb","1-09c8896b125956d0196614a232b5e23ffc9a10b23dd2278bbf1c39ec184f85b2","0-cbc992d3337674de8e0560ffb0d73725e8ab7f2a64276cb75bf2eaa2242f7d7c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-05","2","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","0-ebe4f0f1d22c107955ec67841ea352a51bd69fbe78f3d29ab2c0e1f36cfb2d84","0-cbfaf83bb044dbb894095420b262039503e2c1ad99687f465eccd0bb33d15d11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-06","2","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","5900c9666985c01314d4a2a76f9022ef6609a516534f5cd224b6144f366eb840","1-295188a1fc4d5e8bf9f26547c741405eb17a2e9e3a61648cc29368c3192184a5","0-cbfaf83bb044dbb894095420b262039503e2c1ad99687f465eccd0bb33d15d11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-10","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","0-6d44b029b0325471dedfc1463b0c436dc67803f4d4db24c6b76c08852cc25535","0-fbcbcff6f5d54430a0c1cc648db1f629c5bc84ae96fba488f35851c8bbd4a30d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-02","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","0-90a3df1233fcb34a2957bc725a861c9cee57490f1d182351aaac10f7c4798bb7","1-9db3130b92d8f85bee23b5685096a25a5d0165ee7893ca71684d017f39b6993b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-03","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","1-62a5fb65a9379b65b0da52f741ceb1aa341f16d1b6b2137a2ebf7d1c8ed5da0f","1-9db3130b92d8f85bee23b5685096a25a5d0165ee7893ca71684d017f39b6993b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-02","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","0-2459a63db42b0aba62f7914493409c233bd327409968eb3430c8a3e50cbeae6c","2-d8b565b814209bdb93d4b76096e1cceaba707324c00ddff1a71c997204832825","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-03","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","1-27e8ae81cfb4de3598841dad743304b67b85f4bc218d4d2dba94244b9fa5655f","2-d8b565b814209bdb93d4b76096e1cceaba707324c00ddff1a71c997204832825","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-04","1","2017-BASE_PROCUREMENT-2017-AIRFORCE_OTHER-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","bcc662e800dc8bb76a8285528cc168abcc6312deba5f8a8505391946132986f2","2-3c29767b8455ec8f8acbd8d32ac6c2e88e4fc273767133ffc14793814e53f88a","2-d8b565b814209bdb93d4b76096e1cceaba707324c00ddff1a71c997204832825","root.record.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
