Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2016-05","2","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","119ac9aeb453952ba75c4d783cf739d32e350f26e8876cd89a7dfce91c96401e","0-62e765468e1a5956a3fefebe31921194fa7c40babc2e0b43d8ec32c9b38e9e0d","0-6853b3bb16d4f507662a38036e029a7d1a662cabd69b30af33e8a1185d592c9a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-02","6","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","119ac9aeb453952ba75c4d783cf739d32e350f26e8876cd89a7dfce91c96401e","0-359136c01a11fcbad1adca20414671e65104c614074739335c97866d3fc1b7ef","0-65edd4d86c2cd1a9c220f6e8a21452e562cca976e0afce21acdedbbf1f87bfde","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-12","70","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","d83d4a4c2a2605a0a775a1c10f77dcd9ca71a27db9109b94cf148a2f5b825622","0-b4c1fedc6472bd51e7f31f3783b9dbf060f12b37fce5b80267219e532bf2166d","0-33dbe4ae94148efee0c7cac251146e9a7c13a41030f407e828111c29e1c8d53b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-01","70","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","d83d4a4c2a2605a0a775a1c10f77dcd9ca71a27db9109b94cf148a2f5b825622","1-ece3a21901e364775009fdb68786b202cb4152865bf2ddeed68b7273f9ab810f","0-33dbe4ae94148efee0c7cac251146e9a7c13a41030f407e828111c29e1c8d53b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-05","2","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8ca4bd5ee78697fb7d7f23b16f023113eefd69521a4513cf75df6314e2da36e8","0-a056089063cd0c24b62e1736fd056ad572b3c186016e0f1b0dbe38565b074026","0-10c16c52c893b25cd478069331df91da18ccd74d5dc15d2953b8a1f56ef1dec8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-02","6","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8ca4bd5ee78697fb7d7f23b16f023113eefd69521a4513cf75df6314e2da36e8","0-36eea93e5b292f47a51d195c81a72408c26eb7b9fbfb6aaa1d59a3ab37551a1e","0-7a02d4ec2e7b28719ccf83433cf0a084c0ab8123d9b2840f55b796a0bf032292","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-12","70","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8f7371c0fcdd3fcfc9c5d96b42e996f58b907f32bdf08384d4640e85e9bfeb34","0-020a4d8e4dac2a1ff4d3bd9ed63657fa50160ae47998a184dbd0f2bdba92550b","0-8421f655855de0a998430674dc6873914ea512f395c76b7cccf91c56f70cb09f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-01","70","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8f7371c0fcdd3fcfc9c5d96b42e996f58b907f32bdf08384d4640e85e9bfeb34","1-4274097ee6365de876c0bbb6fc6f2434818c49937965c6608cb12ca1b371e82a","0-8421f655855de0a998430674dc6873914ea512f395c76b7cccf91c56f70cb09f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-12","1","2016-BASE_PROCUREMENT-2016-MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.xml","5e007bd19b04490f3e001277208d4207040e26d264dc85f8de7138a5790c6020","0-da4d0133ba873f177037d05523ed9f5cc5b7fd150d9650ed90b2dc734fc69464","0-95def12962f9f0f295880f1d0aa88faad6dc3d8666b8a105dc8e94055cff6052","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-06","1","2016-BASE_PROCUREMENT-2016-MDA-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Missile_Defense_Agency_PB_2016.xml","5e007bd19b04490f3e001277208d4207040e26d264dc85f8de7138a5790c6020","0-b1c5233ca609461a9b3d5517d7fccf8e3f80399373fe8a5c004131565c758994","0-ec53fa937dadb45761b461d58013c0fdf887d7628c15bb163b544e0b4b42d2f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
