Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2011-05","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","0-8c8a8ea6085342fb1386af84eb1fe11f2194d178190f0c224027a2d5fc63778b","0-224ba0e3a18fb62eabf20fb67bb5400172c41e2ea36fc29545af69f45d2237d4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2011-07","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","1-00aa2b6fa52da36417ea485917e0db48ff5260419fc96651d85abcf10a58f89e","0-224ba0e3a18fb62eabf20fb67bb5400172c41e2ea36fc29545af69f45d2237d4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-04","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","2-1628e77a3243aef846252448adce79a76aa9ef51b371309cde7477645eaf9189","0-224ba0e3a18fb62eabf20fb67bb5400172c41e2ea36fc29545af69f45d2237d4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-09","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","0-4d6590afe0a52b330e50033933f390dbcaa4ed26b6c5d0a6178addee5160a56e","1-74ef9f7e7ab0629a9ca4d05e44b1afa726465b6dd6f78a492b1423a2d7355b66","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-12","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","1-ce9e234beb83cbdb8d5d348a46b3a4690e91163c46a800f6ed90f204b580d692","1-74ef9f7e7ab0629a9ca4d05e44b1afa726465b6dd6f78a492b1423a2d7355b66","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2013-05","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","2-6f5344cf451460b5b502b7aee0ec6dcdcf6d9282005b90d94c5bfb07452abbc7","1-74ef9f7e7ab0629a9ca4d05e44b1afa726465b6dd6f78a492b1423a2d7355b66","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2013-09","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","3-a7cb285646153c01064b0b15cea2cf05f9a5cb0b3e001fe31c24b8db3c01f6f9","1-74ef9f7e7ab0629a9ca4d05e44b1afa726465b6dd6f78a492b1423a2d7355b66","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2013-03","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","0-5aedaae984e02f4e9ce944106311604c5effae9cdba417313a5974a559dab561","2-92e2e50c8309677281e6905acef746f557ae1442b96c948c7386c76af507c372","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2013-10","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","1-631c9a188ae76d754e693c1559378f0886f0640f6e07e6f1fa3a48de51e3608d","2-92e2e50c8309677281e6905acef746f557ae1442b96c948c7386c76af507c372","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-01","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","0-e06da352f08b51e022e2d09d02a93c39c6a6ad8543d8718c239f6243d6b91cf3","3-84ffa46ba90252967808c771898457ea4b7e1d57b939c081d266e5c83cf3fb6a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
