Name_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearThree_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","33","","","5.91","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-d7537b36ba44073d723ebbc8504ffbc8d6c961d42b9ea4be78813c16c77d1dad","0-c697ad7f75c3711507cbbfff77962fc75ccca5a85d83d59fc2c835dfd00adf05","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","52","","","2.027","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-26a2056d386736c461b7a0fd8b0b10fd757938f349b8f330bc0bce339e9e268f","0-3379b67b13b3ed080be98fd08f38c31c470d0c98e8d95184c77036e8bba0ef55","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","52","","","0.000","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-4c6d92e175f718a23e2d3cc60c579072d6b75f5edd9b7bc22b9bdd8b7c95099e","0-47a6eb24284e93670b398a9ab28d9df3b1d18b9374067d0c4cc764f5d2ffe674","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","4","","","13.328","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-eca3b5070406a8fa87c0d87013ed3890a110b645b34480d736bb9ca880543793","0-f55cf4f3c55f73ace01217a16e6b854b2a95794bbb606e3b61225492a9f678fe","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","34","","","0.718","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","2c3a42ac96c574f3a05d311e38d1fd39e76b2eaa077eed338c2b56579168a566","0-c9bb7a60c12b3458992565dd3eb38eeb7cd86962e30bcdfb2ab18076d8cdbefe","0-c618b324cce3faf4dd365d3b476c328874a7ad1f23f3cfed0e4d35c7ea80f04f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","221","","","7.778","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","0-9323523bbf30206d9e37ec4e749f9b18c3197d53940e99664926385ade11fe80","0-4f93a5a10b600c34bfd4f6e4790ce03648439827c086aa204e6f0be2514f9d1e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","883","","","29.53","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","0-294c626538b1598324bcb08c10b6bab49ea18194e21246466dcf08df6d2e54db","1-5dee2a810f4edde8436abeb849a5e0095cfbcf74814bc1c5b672abc7845da710","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","34","","","6.863","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","1-e66512200d16cf265fe19e563d6bd962d2d57f79dd9876e3c2a35ae1ae2a2cf6","1-5dee2a810f4edde8436abeb849a5e0095cfbcf74814bc1c5b672abc7845da710","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","172","","","0.337","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","0-04eb27ff9b05a566bd655b68221a493ae9466179bb7950263d808ff89a73b860","0-fcf7d245d2dd685611e396371edb23da21569a50c698e9ff86c317f9b04b12d3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","737","","","6.347","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","0-0effbabcbe2d67d160ca990f16629df12982c3e3071397a0a7a4083b32f2af82","1-be8b1aeb035d93f3b922bb8ca1bd57c3fa1274cbe7f118a05ece904c14087577","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","99","","","0.183","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","1-8009d354b48dcd8a88faa54ecd9aef484cc1aa25db1b90e4b6923d03a9ded278","1-be8b1aeb035d93f3b922bb8ca1bd57c3fa1274cbe7f118a05ece904c14087577","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","8","","","8.4","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","0-60805b9b2e5ae56e2546d53208b7143e7077bf71dc3eb4ad6f39c37aa4357b7d","0-3f51c11670229c2d2478294bc8fb78deed232b40894d82891c2d67dfc1a8b876","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","7","","","9.602","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a8005ce497b4d26a96a0a73b3a202cd9ad0d2cb8833efae151bef5451667fd9e","1-2eacea99ab8bfce6b97cae470d17337ee9c1bcb1e5c5cd7a9b1de50aabff5ccd","0-3f51c11670229c2d2478294bc8fb78deed232b40894d82891c2d67dfc1a8b876","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
