Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2016-05","2","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","119ac9aeb453952ba75c4d783cf739d32e350f26e8876cd89a7dfce91c96401e","0-9f05657a722971541791944481889c1a6e9903442f15caa689dfe6b367895551","0-6853b3bb16d4f507662a38036e029a7d1a662cabd69b30af33e8a1185d592c9a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-02","6","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","119ac9aeb453952ba75c4d783cf739d32e350f26e8876cd89a7dfce91c96401e","0-1162b6a1170524c78c39b665576163bdfe2311ca005e9a4229d1e81cae5f6d94","0-65edd4d86c2cd1a9c220f6e8a21452e562cca976e0afce21acdedbbf1f87bfde","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-12","70","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","d83d4a4c2a2605a0a775a1c10f77dcd9ca71a27db9109b94cf148a2f5b825622","0-c5222fad5e5531a42a723a8e96b64f648591df35538c670973b21add170bae1d","0-33dbe4ae94148efee0c7cac251146e9a7c13a41030f407e828111c29e1c8d53b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-01","70","2016-BASE_PROCUREMENT-2016-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2016.xml","d83d4a4c2a2605a0a775a1c10f77dcd9ca71a27db9109b94cf148a2f5b825622","1-5399f31dd28329e59a22f29486d589ee12c8fa0062788278c6ae79ded34235f2","0-33dbe4ae94148efee0c7cac251146e9a7c13a41030f407e828111c29e1c8d53b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-05","2","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8ca4bd5ee78697fb7d7f23b16f023113eefd69521a4513cf75df6314e2da36e8","0-7e6ed3007d3708228589581c7d2c7c37ebba916d42afcb861b93508daa582076","0-10c16c52c893b25cd478069331df91da18ccd74d5dc15d2953b8a1f56ef1dec8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-02","6","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8ca4bd5ee78697fb7d7f23b16f023113eefd69521a4513cf75df6314e2da36e8","0-3c54d9bd035eb5da8f962c7d0932ca4b43669c667abba0b47176f63a67726846","0-7a02d4ec2e7b28719ccf83433cf0a084c0ab8123d9b2840f55b796a0bf032292","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-12","70","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8f7371c0fcdd3fcfc9c5d96b42e996f58b907f32bdf08384d4640e85e9bfeb34","0-bc808f6f167016524718a5852e8ea7eed630080a194e568b1cdc95761bfcc61b","0-8421f655855de0a998430674dc6873914ea512f395c76b7cccf91c56f70cb09f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-01","70","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","8f7371c0fcdd3fcfc9c5d96b42e996f58b907f32bdf08384d4640e85e9bfeb34","1-48b8bf8002edfea9265baa43fda1cc1bd95e2154cd0c5ede96791cd1eedfe0bc","0-8421f655855de0a998430674dc6873914ea512f395c76b7cccf91c56f70cb09f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-01","70","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","f4d80b3d0ec9ba6ba7c7ff3e5c7f21e1a694588b648cbd0864ae77b1cc1894b3","0-f166af5f7feb09aea3e45d8286934e60009aa30a101dca77d628a1e8dc6dcb1f","0-388d1834875387931fbef77fbb75ee3ce68a776096b442e58c35c50f4678d5dd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2016-02","70","2017-BASE_PROCUREMENT-2017-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2017.xml","f4d80b3d0ec9ba6ba7c7ff3e5c7f21e1a694588b648cbd0864ae77b1cc1894b3","1-0ce6e31617ba0c28ffe020bfd2c25d67e9564e328becfc26aadbf1724641f468","0-388d1834875387931fbef77fbb75ee3ce68a776096b442e58c35c50f4678d5dd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
