Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2014-03","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","0-15d6b977f0a3e51911fd5ea24ee49d577737c8ac8c8f101bd52754f1b4dbd349","0-a700fe5104dfa79e8a683183ec7b1f0687683ec6b352424f21fbb6c926b75b0e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-07","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","1-f3a82478ef2f7631b3bc144f36c7bc6d7f9eac2c7b0f2e64aa1ea75cd873d303","0-a700fe5104dfa79e8a683183ec7b1f0687683ec6b352424f21fbb6c926b75b0e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-12","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","0-3787ed506dcc6382f6ce54d6cad2ad7c3a42a5b856e64be93428e0c28030af65","1-45ca58336fe3b68eeffa9a84ba382f8ca36b3604ace769107e2d6b6c435bcddf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-01","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","1-0b3ff3c428ad0c587ede035e8a467e23556a70e5f9806c5564b9f7ff19d7a85b","1-45ca58336fe3b68eeffa9a84ba382f8ca36b3604ace769107e2d6b6c435bcddf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2015-03","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","2-86ed8a3c810a004aaff975f20456716cb188bbce902fbb02d4fc5be637d6e306","1-45ca58336fe3b68eeffa9a84ba382f8ca36b3604ace769107e2d6b6c435bcddf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-04","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","0-545863edac6268c65b6a0a67909d477ca4113a7257d050f58f562d977ca07bc4","0-b60f1682939926ac6ebcffb95a9d8ca29c530b019bf25413d0a6e6202ae0302c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-08","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","1-c1a96ee62b0e59ece7bdddeeb7e47ec74f945406862d542e211856d6f01b5896","0-b60f1682939926ac6ebcffb95a9d8ca29c530b019bf25413d0a6e6202ae0302c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2011-05","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","0-59367f34be3398766c4b261ac5daa2c4617ecfab4ba88a429369d28bcfc5edcd","0-be0cb7e42f659d29ab76de0d95d8521d4bf67ce998746bb8605dfdfc03c76956","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2011-11","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b8fa5f8711ad2e5472ab82f8ae7a634c0ce171a77ff119a3b27bbb1b6f64f8eb","1-95a9269b812049c27c3c1c99d38909c21cc70711da6f54076ddeeab633f4c176","0-be0cb7e42f659d29ab76de0d95d8521d4bf67ce998746bb8605dfdfc03c76956","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2014-03","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","1f4f127078b801cf69bd1d343ce10449d87168a46400edc6f8142cdafd8b4153","0-4b96f0231b26fa8df7cdb9cc09df27beae2cf4cc48f7d89d345f32820994234c","0-186226d2bb5a818eb6b7d170c779345c5ecdbf37ba18c3c5f384e967065ff6e9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
