Month_val,Amount_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2012-10","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","0-666e6a052f906396add53e98418d48287051ddb7ebdb13ae6899707f68f49188","0-3d860ed0f4a6d5b2b3d59b2e43166ddea92f1066b2c88f8fd243c57e05e98421","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2017-02","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","0-9558b0adfee46345a57933d22c22cc0ccb0337031cc86c61f35ad5480c93a326","0-c982d91466899c5a3c3bbf879e0545f556a0a02b46c1d13bfab28c3440b9abec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2018-07","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","0-458a283f09faa03b2ec21e4ba1c8a58c71f311aa4b9a90e923db956354439842","0-5a3053064816b29143dfed6232953be1453a28140f7a6358ad176f02b9269611","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2019-07","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bcc8039dfe04ee27e9689c68ee8f80f9f1108da2e33481fde5c6a4205ac3a4e5","1-aea24780c77835363ed5da87c6d2f3bd36e13fcb0ec6f7fb461e3d19bf355aec","0-5a3053064816b29143dfed6232953be1453a28140f7a6358ad176f02b9269611","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2011-02","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","0-e0c100d91143f169a7c9d3bafe59a193d6333ced53a47c85fda49a40c4770275","0-0a6a8d086e5f4a8facb4d94ae6400b91e8dca113073bf3d431a7250c0146e669","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-03","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","1-33520314a28a2aafda2f56c6db33d521a6b4371af2619664756ae3068607d2d4","0-0a6a8d086e5f4a8facb4d94ae6400b91e8dca113073bf3d431a7250c0146e669","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2011-09","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","0-95ce5af955022d8857966f0221ee6a16394987801bcff07b7e938402c1fc1b4e","1-5496a5972cead1d63d7b9c93e206548d86dd3f4059b862972204804118747387","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-01","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","1-f80fe2b9637876dae9f43da4fb77ad063f91c13b07d6dca8c750179d294593b6","1-5496a5972cead1d63d7b9c93e206548d86dd3f4059b862972204804118747387","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-02","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","2-dc204918457b71468a851170ebd0bd7990069ada96787465a699cf2f88fc5f8c","1-5496a5972cead1d63d7b9c93e206548d86dd3f4059b862972204804118747387","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"2012-06","1","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5a010eaa267a4f269b0c68e5b9aaaac65001d84dd0efec298e35cb8f6252cf91","0-b67c756faedaaaf8c9c40e4109663f3f3606d868528e2990ce3455b363531096","2-41c8a6944965b66171cfd0e955b3f9e959dfda508d271eb983a0e1ca58b37716","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
