Title_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Other Adjustments","0.000","0.000","3.164","3.164","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","0-c45f14b68c4f638a0094377d7b40f8f8df598f10ad038533a3827536c581c0b5","135-9ad387dbfd2a2ed155cb3180b3aa999a873f656b820b2f73725dde4f8ffba840","root"
"Other Adjustments","0.000","0.000","0.000","0.000","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","c2d96211ea40cea6a3869ba91ef18045194c3a2dd68fb74ecd744fc5cf8da50e","0-373962fc7b736bf0209a3794e8e3c7592bc4de870bdb95904713a8f80ddf3cfd","136-07c52663067ed8ca96890b6a7cb0cc707a6f2b0d9f4d2595766445dd5855f776","root"
"Other Adjustments","0.000","0.000","8.762","8.762","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","83ed26ed99153dd0d4e010b7562144b5e1b530fab583cf6b19a0c8023ba0a82a","0-038729a3980048e76e1e38b229d950bab1a8edb64d72da1f6df58d9429f07434","137-7c2622141251ba8ba979008b4b5cfc19e21b6a46432dbb897688c5b683b5e766","root"
"Other Adjustments","0.000","0.000","-1.482","-1.482","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","b5506359d526794feff66f47e26e69edb5f774b206434b81975d0c1e3e573626","0-b79121763c4dedbc346c2de951e9ba3de9751baf63993bfe8e8f25967363b7a2","138-4ee425b9c32191f868f84d918976966c73850b481a14fc13e3b90df18ce56ca2","root"
"Other Adjustments","0.000","0.000","0.000","0.000","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","22ed6f48bbd6dad552d7bbb6b9df3715f5e9dbd751bb0dead72a4d39b8b11300","0-32b8e12f09a80d99a89518e2867affe224f903ae2a8f318210f31aaedb25c956","139-65b33153915a2a98b14f0d1ed0205ea686320b39e69b1b11bd93481f363be39c","root"
"Other Adjustments","0.000","0.000","-1.147","-1.147","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","198855d2568154c5301e3ac74988b5cc49f6f7f0c89e0a927fb5e543b111056e","0-35a1324297c47724c6da613fa8dad3694f0527adb36e4434cf9755f90c6fad3a","140-d12e569271b597d3dd99614e7e7db513ae22702ebc46981f23490737ccaed5c8","root"
"Other Adjustments","0.000","0.000","0.000","0.000","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","733391cd00eed195c912c65f9c2171cc9f5cffbf82546503f224c3c3cbd2d937","0-9883946cfb292ee4b47a6d67e13a09b69fb292138c32553497d71a59469d4df9","141-0c4bc7bcbaadabd87a2300684a139ea0302727410fab0d371f9e6bf92a250ff2","root"
"Other Adjustments","0.000","0.000","0.000","0.000","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","5a2929a5340b23603184c3ce2b41a3590bdc62023573dce9438f397f07e8a17a","0-d2cba231f79ca0eb6975e92e0d1c0b40f9ac8c9ca68b2b203f6fb310d78b2929","142-dad22e72c19bc5a4107bf6610ddf6819498d5edd4bbe31ede00d6d8425882533","root"
"Other Adjustments","0.000","0.000","67.084","67.084","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","8f389fd6f722ee4f170aa371ac25fcc69db28709d83a939e925e576cc9274db5","0-470fe5222d1ccd8d72d37ed6264df30c174a7f1ce03a03558a1a222558a8a83a","143-fa747f6d4c0692c9c5519da525c7466fcdfa973c7ff459584add4063af8a113a","root"
"Other Adjustments","0.000","0.000","-0.123","-0.123","0.000","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","d49532f0c2392cb72e8a34cbfbec5e9ccfcec68bbc6d457e68b77d246acd62ea","0-350162e697cf4acc05722d628c63c8b83bca474824527267d6c274282b4b63d0","144-f3fafe756365e9616841c13139cf34ff301e477fdf0ab940c115afa68c3be328","root"
