Title_val,Description_val,Accomplishment_PriorYear_Funding_val,Accomplishment_PriorYear_Text_val,Accomplishment_PriorYear_Articles_val,PlannedProgram_CurrentYear_Funding_val,PlannedProgram_CurrentYear_Text_val,PlannedProgram_CurrentYear_Articles_val,PlannedProgram_BudgetYearOne_Funding_val,PlannedProgram_BudgetYearOneBase_Funding_val,PlannedProgram_BudgetYearOneBase_Text_val,PlannedProgram_BudgetYearOneOCO_Funding_val,PlannedProgram_BudgetYearOneOCO_Text_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Major Thrust 1.","Investigate regulated, broad-spectrum, variable-energy lasers, laser arrays, and novel bright incoherent light sources.","11.026","Extended studies on infrared semiconductor diode lasers to increase available power, efficiency, and wavelength range, at various temperatures. Studied efficient nonlinear optical techniques capable of efficiently converting the wavelength of existing lasers to mid- and long-wave infrared, while capable of handling very high average power.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-5dec84a204e9d2184f3f33e2abf8e8a564166eebae8ef9d7c1f6006828cc7aa6","0-4fbe5fa694c17067b878c3e0ba3a8ed874295f0f2bb98612a1196d69a54fa058","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Explore high-energy, electro-energetic device concepts and manipulation of atomic and molecular properties, atomic collision processes.","14.240","Continued to explore frequency comb techniques and ultracold atoms and molecules for precision measurement applications. Explored techniques in micro- and nano-fabrication that better lend themselves to affordable, high-volume fabrication of ultra-high-frequency, compact high-power electromagnetic radiation sources. Continued examination of materials science innovations that promise to advance the state-of-the-art in low work-function field-emission (cold) high current density cathodes. Continued innovations in 3-D modeling of high power microwave (HPM) sources with emphasis on speeding execution times.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-a09a495e4ad736e1c0b5357e3503ecad50e8b236ecf880b8117a050fdb6c1125","0-4fbe5fa694c17067b878c3e0ba3a8ed874295f0f2bb98612a1196d69a54fa058","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Advance technologies for space sensors, imaging, identification and tracking methods, and effective space situational awareness.","6.010","Continued to develop new sensing modalities that reduce limits on optical resolution and precision tracking of space objects. Investigated new methods of uniquely identifying unresolved space objects and incorporated this investigation in the identification of uncorrelated space objects. Continued study of the physics of signatures in the scattering and reflection of light during active imaging. Expanded research into fundamental processes and energy sources affecting satellite drag leading to improved understanding of precursors to atmospheric density variations.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","2-3ac6b27d527d2554532d706af95efbdeea70b453383da27853c2ff16ba7a3b9d","0-4fbe5fa694c17067b878c3e0ba3a8ed874295f0f2bb98612a1196d69a54fa058","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 4.","Research space environment to improve solar plasma theories and modeling in the areas of solar phenomena, space weather, magneto/ionosphere effects, and adaptive optics.","6.271","Investigated proxy indicators of ionospheric and atmospheric processes that could be sensed using inexpensive but effective techniques. Investigated methods to exploit grid-free calculations of plasma processes in the magnetosphere and ionosphere as well as in the solar atmosphere and solar wind. Continued the study of energy flow between solar and terrestrial environments. Continued to study plasma instabilities and plasma processes in the equatorial and polar ionospheres.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","3-fbf5aa528102142dbc6fed9bdaea9acd203924bbd326bfeda9a77d579967c1b4","0-4fbe5fa694c17067b878c3e0ba3a8ed874295f0f2bb98612a1196d69a54fa058","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 5.","Research physical mathematics and applied analysis to develop accurate models of physical phenomena to enhance the fidelity of simulation. Conduct research in electromagnetics.","10.406","Increased basic research support for designing small, highly directive sources which can provide both secure communication and sophisticated waveforms which optimally propagate through various dispersive media. These sources included semiconductor lasers which are optically pumped and, in addition, might be combined to form partially coherent beams which are predicted to be less disturbed by atmospheric turbulence than are standard fully coherent laser beams. Continued support of circuit upset research with emphasis on digital circuits.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","4-93dd00af9bf34ec70f22461ff0198b0b8937f3642d58b2a0e1c0bca6238d980a","0-4fbe5fa694c17067b878c3e0ba3a8ed874295f0f2bb98612a1196d69a54fa058","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Explore the integration of advanced materials, nano-materials, and devices into turbine engines, air vehicles, space systems, and other weapon systems.","9.413","Expanded research in the area of multifunctional materials and microsystems for autonomic sensing and self-diagnosis of exogenous threats. Continued research in the area of multifunctional materials and microsystems for reconfigurable structures allowing shape change and property tuning. Continued research in the areas of prognostics, autonomics, self-healing, thermal management, energy harvesting/storage, electromagnetic energy radiation/transmission, and micro-/nano-mechanics to enable safer and more durable aerospace structures with improved performance characteristics. Further developed the fundamental knowledge required to design and manufacture multi-functional aerospace material systems and devices and to predict their performance and structural integrity.","","0.000","N/A","","0.000","0.000","N/A","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-a7f73747c8ce5cee65a08f6930edeb29dc535af0b7af5c5c830146baef775f89","1-db55c0351e993f9b90a5861f4a262cda22362b375e70b581fc65eefd9a1a55e3","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Analyze structural fatigue and mechanics, adaptive structures, and material properties to improve the design, robustness, and performance of air and space systems.","10.236","Continued to seek new and revolutionary flight structure concepts that will permit broader operational capabilities, a faster reconfigurable ability, and more affordable accelerated fabrication. Investigated new structures of novel materials developed under the advanced materials programs. Expanded the understanding of structural health monitoring sensors and techniques, and tested the developed new science under laboratory conditions. Enhanced the understanding of dynamic and mechanical behavior of flight structures under extreme environments such as intense vibration, nonlinear structural dynamics, unsteady aero-thermo-elastic effects, and directed energy effects to increase operational survivability and mission success.","","0.000","N/A","","0.000","0.000","N/A","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-32b1a3044f3707836853efbddc715369e25abc23cf0bd7de638f49e7add4139f","1-db55c0351e993f9b90a5861f4a262cda22362b375e70b581fc65eefd9a1a55e3","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Research and characterize molecular dynamics, reaction mechanics/interactions, and theoretical chemistry to model, predict, control, and exploit atomic and molecular energetics.","16.985","Studied a fundamental understanding of basic chemical and physical processes on the nanoscale. Developed methods that can describe material behavior from the atomic level through mesoscopic and macroscopic scales and simulated chemical processes to model bulk scale properties. Developed theoretical methods to predict energy and density of novel energetic materials. Explored methods to use catalysis to improve energy utilization and storage. Created new selective and sensitive sensors for detecting trace species. Performed experiments and simulations to understand chemical processes in space for situational awareness. Investigated processes needed to assess scalability of hybrid laser concepts.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-c45765df652af827fe7ecb5308389fedff95e4abaa8200310c67e6839347dfa5","2-644f5a1c202daed7e2b2f9bdc653af689e1e753d86d86cea38d957c2e1bea319","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Enhance fundamental understanding of polymer chemical structures, reactivity, molecular engineering, processing controls, and materials technologies.","13.010","Explored organic transistors with flexibility, mechanical robustness and higher performance or equivalent of a-Si transistors. Explored rewritable color 3-D hologram displays using photorefractive polymers. Assessed feasibility of controlling chirality of molecular structures to achieve negative index behavior in the optical or infrared range.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-a53c246308a880269163be70d8566ad8f41f50b5b1a2eb856aac7c56e15f0a4f","2-644f5a1c202daed7e2b2f9bdc653af689e1e753d86d86cea38d957c2e1bea319","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Characterize, model, and exploit the fundamental chemistry and physics that govern surface and interfacial degradation from completely frictionless to total deterioration.","10.091","Applied knowledge of chemical and morphological effects on degradation of simple surfaces towards development of theoretical and predictive models for degradation of complex and hybrid surfaces and materials across multiple length scales. Investigated fundamental chemistry and physics of surface wear driving towards a comprehensive understanding of the role of the chemical environment. Developed real-time nano-tribological instrumentation capable of in-situ friction, adhesion, and wear experimentation.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","2-a28ec4badc5c2aee0e0bfcc6bf72ce45b2cdb06a4b9ae8646a22c03f7079fb5a","2-644f5a1c202daed7e2b2f9bdc653af689e1e753d86d86cea38d957c2e1bea319","root.record.ProgramElement.ProjectList.Project"
