Title_val,CurrentYear_Funding_val,CurrentYear_Text_val,@SOURCE_FILENAME,@RECORDID,@ROWID,PriorYear_Funding_val,PriorYear_Text_val,@PARENTROWID,@PARENT
"Cyber Security Research","12.000","Conduct Congressionally-directed effort on cyber security.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","63481da1fd9cb9f28463e1299bc23b14aa80152ac0201c2b0c835019a28ebe3d","0-8e39ed68624c6168d692b21ab85a34a296faab7be29d8ab85609369751bf22bc","","","0-41c865bb5c8249e2884eff8038462a060110346c44d4fb5e9ccf19fd892bcb7c","root.record.ProgramElement.ProjectList.Project"
"Ground Optical Imaging Research and Technology.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9b77283d3b613953b859520dcee05d308c0faf3b015cb415b24462e831616e41","0-8127d7d30b54322131687c0365c6dbaf23eb380395dff221d1783e1461b382c0","11.143","Conducted Congressionally-directed effort.","0-2f413f48d0fcac98cd46490e927558ef4f45dbdf9ac93954d40428bce2c5152e","root.record.ProgramElement.ProjectList.Project"
"Space Situational Awareness.","30.000","Conduct Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9b77283d3b613953b859520dcee05d308c0faf3b015cb415b24462e831616e41","1-088ee0200913630fdbc3569b63a680eca2580efcaf3e71beb0007aba52254bcb","0.000","N/A","0-2f413f48d0fcac98cd46490e927558ef4f45dbdf9ac93954d40428bce2c5152e","root.record.ProgramElement.ProjectList.Project"
"Metals Affordability Initiative","0.000","N/A.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00cd79e6565a52f46bdd299fdb0ce6cd63fdff6c8f4b571ac6db43b427149350","0-c6debc1f9f16f37ed20928b4241d9270a5d7cde0e38d85510214489c346da7b0","8.000","Conducted Congressionally-directed effort.","2-3459106d743370ec19cc827e9067a40035a50e8d16a9801c714e5bd4d55045a6","root.record.ProgramElement.ProjectList.Project"
"Silicon Carbide Composites Research","12.500","Conducted Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00cd79e6565a52f46bdd299fdb0ce6cd63fdff6c8f4b571ac6db43b427149350","1-4e841998815b38b9c4969279747f870aa0c51974864a4573512fa3c4995d5a77","0.000","N/A.","2-3459106d743370ec19cc827e9067a40035a50e8d16a9801c714e5bd4d55045a6","root.record.ProgramElement.ProjectList.Project"
"Advanced Materials Research","8.500","Conducted Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00cd79e6565a52f46bdd299fdb0ce6cd63fdff6c8f4b571ac6db43b427149350","2-3eccd0f22f2108ef595975c97449d2f24832fcf8f88034f51d8d6e076541703e","0.000","N/A.","2-3459106d743370ec19cc827e9067a40035a50e8d16a9801c714e5bd4d55045a6","root.record.ProgramElement.ProjectList.Project"
"Program Increase","10.000","Conduct Congressionally-directed effort for Program Increase.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ac427fae7250717d8834c2069ab72cc0942d20351b29494f0d36a8ae75458da9","0-1a138c802312ad76e570aa798bb58899b205351787c0a48411d9047ad92eee84","0.000","N/A","0-4bc2727389a72f0a586ef93d898089d0eb0906cfede401d7ebfd87192a2f9dc9","root.record.ProgramElement.ProjectList.Project"
"Blue Devil 1","58.600","Support Blue Devil 1 technology demonstration in theater.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","ac427fae7250717d8834c2069ab72cc0942d20351b29494f0d36a8ae75458da9","1-7a1316d5efb0c417a212d4c18b5f6cb92686c8a82b05d6ceae57a95b6b42746e","0.000","N/A","0-4bc2727389a72f0a586ef93d898089d0eb0906cfede401d7ebfd87192a2f9dc9","root.record.ProgramElement.ProjectList.Project"
"Space Situational Awareness.","20.000","Conduct Congressionally-directed effort.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4f7d7b23e942cbb446463590cd80081af05d44b3f64df71bdb6f740b8c0e8f50","0-a1a463700ac22957b8a37a88ec8befe42e889cc1b503ca94142d42aa9f35b75d","0.000","N/A","0-51969702ebf7d2ab3c8e2c2df018500ac76c62005093d91e12f0a74416da2f58","root.record.ProgramElement.ProjectList.Project"
"Best Industrial Processes for Department of Defense Depots","0.000","N/A.","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d2aa3b32243af78fb6a32f00e09dd7eddc98d73f0998cff5a64a575743f6446d","0-36f09f36df8d5517cb8167c20457b1e12e4d7258bdb0238790495a416cdbb679","8.000","Conducted Congressionally-directed effort.","0-db49d568e12bf7f381268156993fb767f3204c2c1c93dcd1125a33e31ac4d878","root.record.ProgramElement.ProjectList.Project"
