Title_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_BudgetYearOneOCO_val,Funding_TotalPreviousYears_val,Funding_CostToComplete_val,Funding_TotalCost_val,Funding_TargetValue_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Other Service Funding Adjustment","1442.252","1462.810","1625.295","1625.295","0.000","","","","","2013-BASE_RDTE-2013-AIRFORCE_V2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f180a7e97c0a024af28a425d8ad3d0fd07abefaf09591c6dfd90ac9b03f29188","0-c98e4c1fdf5be2cc43936ddd018203f1c00de23ab2eb4a15b8b3981d508e2d35","0-1a6da4e5ece7b8dc9586cce30f405e0590b00562b3fdcd964c2fb088681cabc9","root.record.ProgramElement.ProjectList.Project"
"Other Service Funding Adjustment","1442.252","1462.810","1625.295","1625.295","0.000","","","","","2013-BASE_RDTE-2013-AIRFORCE_V2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","0d4897ecbec40c60f5e45814fc2754a9252569f41f2a09a97cf2f5fe0feb6c26","0-04b15f3a69526c0a5db4e643ef08f2ad28e79172a7fcfbeb420ecb2822cbe2b6","0-cd65d1245adf24f99bcd61f967c384d7029f8f2f198796f60bd22b6734c32dd6","root.record.ProgramElement.ProjectList.Project"
"0604800F","931.599","1387.926","1210.306","1210.306","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-JustificationBook_Navy_PB_2013.zzz_unzipped-JustificationBook_Navy_PB_2013.xml","0f1447ea9141dbbfcf8d9f0bf86264dcd034808ca01c9149c64cf5955e5d36a6","0-224c9be745e3c709c99f87cde3c311e95c91b48f88bf52ec6c37b27bbb7ca2bb","0-d8e9ff756eafe144c26c173969a3644b2f0593b1ca6f20a3412e837d66f21cb5","root.record.ProgramElement.ProjectList.Project"
"International","185.912","152.474","144.220","144.220","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-JustificationBook_Navy_PB_2013.zzz_unzipped-JustificationBook_Navy_PB_2013.xml","0f1447ea9141dbbfcf8d9f0bf86264dcd034808ca01c9149c64cf5955e5d36a6","1-88b6e99bbe063f8d640924798e539c3f0cfee9c59e44e4b04408373805316723","0-d8e9ff756eafe144c26c173969a3644b2f0593b1ca6f20a3412e837d66f21cb5","root.record.ProgramElement.ProjectList.Project"
"0604800N","615.706","631.836","724.392","724.392","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-JustificationBook_Navy_PB_2013.zzz_unzipped-JustificationBook_Navy_PB_2013.xml","0f1447ea9141dbbfcf8d9f0bf86264dcd034808ca01c9149c64cf5955e5d36a6","2-d6dd44539c2163912198f03571c026cdf88031eeb25770f6250116b4fb5220a0","0-d8e9ff756eafe144c26c173969a3644b2f0593b1ca6f20a3412e837d66f21cb5","root.record.ProgramElement.ProjectList.Project"
"0604800F","931.599","1387.926","1210.306","1210.306","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-JustificationBook_Navy_PB_2013.zzz_unzipped-JustificationBook_Navy_PB_2013.xml","370dbeba91cf69198966dfa0753b5b961081ec25192ddc9345326df6ca0b37e4","0-5dd08517a558e5efb356299c690e9c263bbb6c92506aa1debe1d5b538ad7ba1a","0-b9ddbf1b1f12f78b04769a50e143bed600bfce2b7bccc9cb5199ef153a90c841","root.record.ProgramElement.ProjectList.Project"
"0604800M","602.142","651.786","737.149","737.149","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-JustificationBook_Navy_PB_2013.zzz_unzipped-JustificationBook_Navy_PB_2013.xml","370dbeba91cf69198966dfa0753b5b961081ec25192ddc9345326df6ca0b37e4","1-a7717b340e3587ed7cc6139acd8b3e057454c5ea84a157d0040bf73255e491b8","0-b9ddbf1b1f12f78b04769a50e143bed600bfce2b7bccc9cb5199ef153a90c841","root.record.ProgramElement.ProjectList.Project"
"International","185.912","152.474","144.220","144.220","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-JustificationBook_Navy_PB_2013.zzz_unzipped-JustificationBook_Navy_PB_2013.xml","370dbeba91cf69198966dfa0753b5b961081ec25192ddc9345326df6ca0b37e4","2-6d39f969bdee0e7c43898f8ae94e8529ddfaa51d9cd43b1c5167c0a3918c1308","0-b9ddbf1b1f12f78b04769a50e143bed600bfce2b7bccc9cb5199ef153a90c841","root.record.ProgramElement.ProjectList.Project"
"0604800F","931.599","1387.926","1210.306","1210.306","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","74d9d57cc8ff46f47d3337d03e259c0f864a5341acbea723020da2fc8fe1294b","0-562fe030920e39c7739b194deea678a4797d54f09143bc9a6b9dc26548c2e25e","0-4c4fc0cc5afd0297d6ed174ff421fef45470554c3a07f183bca76fed179d59bd","root.record.ProgramElement.ProjectList.Project"
"International","185.912","152.474","144.220","144.220","0.000","","","","","2013-BASE_RDTE-2013-NAVY_BA5-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","74d9d57cc8ff46f47d3337d03e259c0f864a5341acbea723020da2fc8fe1294b","1-2f1f09e80bd9cb268806c11419e461558191856551dbb3f951795432fa7f2e05","0-4c4fc0cc5afd0297d6ed174ff421fef45470554c3a07f183bca76fed179d59bd","root.record.ProgramElement.ProjectList.Project"
