LineItem_val,Title_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_BudgetYearOneOCO_val,Funding_BudgetYearTwo_val,Funding_BudgetYearThree_val,Funding_BudgetYearFour_val,Funding_BudgetYearFive_val,Funding_CostToComplete_val,Funding_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-745090fb28e23be7b0d1ce84860fd2459fc529005797d9d2a8cc5d1aed234d2f","0-6bb7e824339e9894ac121f096f499c51ca2c0b98c8bfc7c4bac59ed5b54ab2d7","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-d263c581df2e654610579549d593d8951345d73510a712e8023382e2e988fb2a","1-c4a4ea1a40f94ebf80989208b0a0ef64efc0827156ff6412983120b3eacbd33d","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-91e74c1ffb142f2c5fd52404446c32fcd6afefccc8addf393fe79632f06a6b8b","2-4fa03b92c1bc1ca7c956cd30fdfb0d613c1438a00f73e60952614adef85536dd","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-227c521c335d3f40ff678c529b43e8c9988ebb2238a53d279137fc0c410aa517","3-6e1c6a08124e1b4fca383e0bd6a710cb6320b26fdda9fc2811f559bf801489b4","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-ac0e175b0ee9b2f299c9e5724d027afef7184deaafeb5dd7ef7202d4cf8796ca","4-f2384d1c71b277e8deb47bf2df6423528e0fdfb1af53469bfc5061ef1523ea0e","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-e86c8b0481a408af56fc188c05406fdb0edfe4586490e05e8b24cfbd0843e112","5-6b797bf40bdadef4cdf236c8edd6dbe25fc3c13a41f961db515872b46a7782b6","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-cb7cd35f6708f21e868cc693c1ec596f6e7e30e2a562c9a44fff45fe2d124e3c","6-ad67d48f5cd95670723e3a1b3e2daf6fa5e507a18171026b99e56e9c6286f963","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-0256f5289755a4d67ef25db6f56cd47638d5dfa3be742a1f2d9c13378699857f","7-17c9df309192cdd90a33c12e979978de46aeab5bb29cb4164a5322a41fef98db","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-54bf641a5917597d4f6dbca1c9bd0881a2526e219a79ec2db2733d8d977491b6","8-e4dbbb68093a9f0373b04071bb76eb62eb24b64b8561f846021e2d438035587a","root.record.ProgramElement.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-a3b24c92e18008ec882eb92510e6d2e6b9875dc536b1a2a916cf3a9f70399220","9-b9cada0caeeb1260bd2c4ee7dd669b7a81512a1b295548b5bff5a73f56258c3c","root.record.ProgramElement.ProjectList.Project"
