EventTitle_val,Schedule_Start_Quarter_val,Schedule_Start_Year_val,Schedule_End_Quarter_val,Schedule_End_Year_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"National Senior Leadership Decision Support (NSLDS) POP, IOC, MUA & Transition","1","2011","4","2011","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","0-64c54e482d475cac7d3ffc0562d08a356f5749f57a50b9dcddce5470bca80c18","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"C2/CS FY 2011 JCTD RDEMS - POP, IOC, MUA & Transition","1","2011","4","2013","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","1-07bda49bc344e8a7a8df8803b6461d78d20d9ac9693ab7e87369b5c80842c26b","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"C2/CS FY 2012 JCTD - POP, IOC, MUA & Transition","1","2012","4","2014","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","2-5eb3b02bcb20af6e3468392a962564d29eca592db2863c4829ab126c370a3319","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"C2/CS FY 2013 JCTD - POP, IOC, MUA","1","2013","4","2015","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","3-200d18b388f67da1a71b1903e7843ab3028b3c42cc75b2e9efeea00c8870454f","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"C2/CS FY 2014 JCTD - POP, IOC","1","2014","4","2015","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","4-d653d51b64227a31008858b7dfcc8452390b1b162a5f7403b788a639f318e859","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"C2/CS FY 2015 JCTD – POP","1","2016","4","2016","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","5-b3c96f9c5806adaa0d69caed01a40833d3451489c661b8974c92e7ceac1ac7d4","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Joint User Messaging – POP, IOC, MUA & Transition","1","2011","4","2011","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","6-ac3dbfc4aab2f5f110eccb32c8b079a4fed99717aed82ee8ba1f17b5bed5c729","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Senior Mashup (Strategic Watch)","1","2011","4","2011","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","7-5d68d2bb273946601792c6112330f32fea1c3745abfa1c0d6ea3ce38b99723bb","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Persistent Collaboration for Decision-making - POP, IOC, MUA & Transition","1","2011","4","2012","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","8-d2714b3779d536b6d0037a265760645b096c3cc26b3a6da9222ddad01a285486","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Virtual End-user Environments – POP, IOC, MUA & Transition","1","2012","4","2014","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","9-7683426a8eca9abea1e6b401446bbc83ab97b0a533e3511e77f736d005463dd1","0-df4931a42f2e1048f77be86195bd90e02c6d528b3cc5ebdda40364adf1634ad2","root.record.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
