Title_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Command and Control (C2) and Combat Support (CS)","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","0-5571caf3c465f73881eb3c3e55504faf37bd867cdfc1bc3d51b2b001d8acebf2","0-36c907eed777fcfb394251fac5a860d6cf85f07346604a66afa046a12c7c5389","root.record.ProgramElement.ProjectList.Project"
"Information Sharing (IS)","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","1-8a13715af8a1d5c71a076215919ae05d4b1e717b1d086b9a4465747e8662243a","0-36c907eed777fcfb394251fac5a860d6cf85f07346604a66afa046a12c7c5389","root.record.ProgramElement.ProjectList.Project"
"Network Infrastructure (NI)","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","2-8218308d982855453309b6c37c8cfa293235fdfbf5db0e143640f622d07ce0e4","0-36c907eed777fcfb394251fac5a860d6cf85f07346604a66afa046a12c7c5389","root.record.ProgramElement.ProjectList.Project"
"Network Operations (NetOps)","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","3-56b65f8797a82184c06c5a709e2f39665595a36aee3ab3bc81beedfd7a46c144","0-36c907eed777fcfb394251fac5a860d6cf85f07346604a66afa046a12c7c5389","root.record.ProgramElement.ProjectList.Project"
"Cyber Threat Discovery","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","a374b2ca7684d9d2429796fda2dd8240d4b14f292e69a3868fb365963475f125","4-712909e8a1bddf0fca7c9bcbb9cb93de31136557da89dafe48c8a86abba86765","0-36c907eed777fcfb394251fac5a860d6cf85f07346604a66afa046a12c7c5389","root.record.ProgramElement.ProjectList.Project"
"Teleport Program","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","5660a38a5a241cbd5cee0cc93bc65498fda569c6b5899a976b4e8915017f37a6","0-92c2f02018145949a459eda95dbdde67b8ecf16bf5337cb9ed070c237c06d593","0-a77e1c3c2987aa9f778ff3ae389d090adda5e120eab6765f8003f910f3bf166b","root.record.ProgramElement.ProjectList.Project"
"MUOS to Legacy Gateway Component","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","5660a38a5a241cbd5cee0cc93bc65498fda569c6b5899a976b4e8915017f37a6","1-3a59d56187aa2c977ec6835d6c7876d24c0ebcad4d4495445248e2886a60b011","0-a77e1c3c2987aa9f778ff3ae389d090adda5e120eab6765f8003f910f3bf166b","root.record.ProgramElement.ProjectList.Project"
"MUOS to Defense Switched Network","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","5660a38a5a241cbd5cee0cc93bc65498fda569c6b5899a976b4e8915017f37a6","2-8078c3a7645fc5d6725ca3d905cbe7ae79394cc2d3646ad62c6e9e5939faae49","0-a77e1c3c2987aa9f778ff3ae389d090adda5e120eab6765f8003f910f3bf166b","root.record.ProgramElement.ProjectList.Project"
"Generic Discovery Server","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","5660a38a5a241cbd5cee0cc93bc65498fda569c6b5899a976b4e8915017f37a6","3-f52fca290740900b72ac8ad74dcd320a5bcf81c936f83f7fe432ed31bcac03b0","0-a77e1c3c2987aa9f778ff3ae389d090adda5e120eab6765f8003f910f3bf166b","root.record.ProgramElement.ProjectList.Project"
"MULTINATIONAL INFORMATION SHARING (MNIS) – Current Systems","2013-BASE_RDTE-2013-DISA-JustificationBook_Defense_Information_Systems_Agency_PB_2013.zzz_unzipped-JustificationBook_Defense_Information_Systems_Agency_PB_2013.xml","df76068f26fe3ea62a40ec3495528e20cb5ac0bf9b4490f77c811029c3ab264c","0-2bde5b3d98f9821e6ba0292784f3da943c43c4a0035be545633c55a61223b6df","0-2e01d14c98ab118c1fc960d99c45cb65bc5805ad4bbc0c0cec15c6409f5e809c","root.record.ProgramElement.ProjectList.Project"
