ProjectNumber_val,ProjectTitle_val,ProjectFunding_PriorYear_val,ProjectFunding_CurrentYear_val,ProjectFunding_BudgetYearOne_val,ProjectFunding_BudgetYearOneBase_val,ProjectFunding_BudgetYearOneOCO_val,ProjectFunding_BudgetYearTwo_val,ProjectFunding_BudgetYearThree_val,ProjectFunding_BudgetYearFour_val,ProjectFunding_BudgetYearFive_val,ProjectFunding_CostToComplete_val,ProjectFunding_TotalCost_val,ProjectFunding_AllPriorYears_val,R2aExhibit_ProjectArticles_PriorYear_val,R2aExhibit_ProjectArticles_CurrentYear_val,R2aExhibit_ProjectArticles_BudgetYearOne_val,R2aExhibit_ProjectArticles_BudgetYearOneBase_val,R2aExhibit_ProjectArticles_BudgetYearOneOCO_val,R2aExhibit_ProjectArticles_BudgetYearTwo_val,R2aExhibit_ProjectArticles_BudgetYearThree_val,R2aExhibit_ProjectArticles_BudgetYearFour_val,R2aExhibit_ProjectArticles_BudgetYearFive_val,R2aExhibit_ProjectArticles_AllPriorYears_val,R2aExhibit_ProjectNote_val,R2aExhibit_ProjectMissionDescription_val,R2aExhibit_AcquisitionStrategy_val,R2aExhibit_PerformanceMetrics_val,R2aExhibit_CongressionalAddDetailList_CongressionalAddDetail,R2aExhibit_OtherProgramFundingSummaryRemarks_val,@SOURCE_FILENAME,@RECORDID,@ROWID,R3Exhibit_CostCategoryGroupList_CostCategoryGroup,R4aExhibit_ScheduleDetailList_ScheduleDetail,@PARENTROWID,@PARENT
"612301","Physics","47.953","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3001 in this Program Element to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Physics basic research seeks to enable revolutionary advances in, and expand the fundamental knowledge supporting laser technologies, sensing and imaging capabilities, communications and navigational systems, fuels and explosives, and directed energy weapons that are critical to the Air Force. The primary areas of research investigated by this Project are laser and optical physics; electro-energetics (includes plasma) physics; atomic, molecular, and particle physics; space sensors and imaging physics; space environment physics; electronics; and physical mathematics and applied analysis.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","0-4fbe5fa694c17067b878c3e0ba3a8ed874295f0f2bb98612a1196d69a54fa058","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612302","Solid Mechanics and Structures","19.649","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3002 in this Program Element to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Solid mechanics and structures basic research aims to improve load-bearing performance of air and space structures through the prediction and control of multi-scale phenomena ranging from micro-level deformation and fracture of materials to the structural dynamics of large platforms. The goals are cost-effective development and safe, reliable operation of superior Air Force weapon and defensive systems. Fundamental knowledge of multi functional structures with smart materials, sensors, actuators, and control systems integrated to accomplish damage control, thermal management, vibration reduction, and reconfigurable shapes. Research topics include: the modeling of non-linear static/dynamic behavior of structures; mechanical reliability of micro-devices; design of multi-functional materials; mechanical behavior of nanomaterials; and composite materials for structures.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","1-db55c0351e993f9b90a5861f4a262cda22362b375e70b581fc65eefd9a1a55e3","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612303","Chemistry","40.086","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3002 in this Program Element to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Chemistry basic research seeks bold innovations in understanding, modeling, and controlling chemical reactions for developing new materials, improving synthesis of existing materials, controlling energy flow and storage, and regulating interactions between materials and their environments. Studies expand fundamental understanding of properties regulating the chemical dynamics and energy transfer processes that foster advances in laser weaponry and allow predictions of the infrared, optical, and radar signatures of reaction products and intermediates that advance reliable target assessment and tracking. Critical research topics include: novel synthesis and characterization of lower cost, higher performance functional and structural materials, electronics, and photonic materials; nanostructures; electromagnetics; and conventional weaponry. Focused investigations include bio-derived mechanisms for lifetime extension of materials and catalysis and the exploration of atomic and molecular surface interactions that limit performance of electronic devices, compact power sources, and lubricant materials. Primary areas of research include molecular reaction dynamics, theoretical chemistry, polymer chemistry, biophysical mechanisms,and surface and interfacial science.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","2-644f5a1c202daed7e2b2f9bdc653af689e1e753d86d86cea38d957c2e1bea319","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612304","Mathematical and Computer Sciences","35.945","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3003 in this Program Element to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Mathematics and computing sciences basic research develops novel techniques for mathematical modeling and simulation, algorithm development, complex systems control, and innovative analytical and high performance computing methods for air and space systems. Basic research provides fundamental knowledge enabling improved performance and control of systems and subsystems through accurate models and computational tools, artificial intelligence, and improved programming techniques and theories. The primary areas of research investigated by this Project are dynamics and control, optimization and discreet mathematics, and computational mathematics.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","3-e70662f122076db33cdcccf9117538163a684f4b5f033e4ce304a3bb94eb9d42","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612305","Electronics","42.865","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3001 in this Program Element to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Electronics basic research generates and exploits fundamental knowledge and understanding of novel solid-state electronic, sensor, and optoelectronic materials and device implementation schemes vital to advance Air Force operational capabilities in surveillance, information and signal processing, communications, command and control, electronic countermeasures, stealth technologies, and directed energy weapons. Solid state electronics research discovers and develops new materials, advances processing and fabrication sciences, and develops and implements advanced physical modeling and simulation capabilities essential to evaluate novel electronic, sensor, and optoelectronic structures and device concept implementation schemes. Research stresses high-risk, far-term, game changing capability breakthroughs essential for future leaps in warfighter system performance, functionality, reliability, and survivability while simultaneously reducing component and system power, size, mass, and life cycle costs.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","4-392b38c95373c97bcf6f1361b93876d4ab1115e2970f88654eae5775247762be","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612306","Materials","30.681","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3002 in this Program Element (except the natural systems and extremophiles major thrust efforts moved to Project 3003) to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Materials basic research enhances the performance, cost, and reliability of structural materials to eliminate reliability issues related to high-temperature strength, toughness, fatigue, and environmental conditions. This research expands fundamental knowledge of material properties that leads to the development of novel materials for airframe, turbine engine, and spacecraft structures. The goals of this Project are to develop improved materials for air and space vehicles that provide increased structural efficiency and reliability, increase the operating temperature of aerospace materials, and further increase thrust-to-weight ratio of engines. A primary research focus is on refractory alloys, intermetallics, polymer composites, metal and ceramic matrix composites, advanced ceramics, and new material processing methods. Basic research is also conducted in natural materials and systems to exploit unique properties and products for use in the development of advanced weapon technologies. Research is conducted to mimic the natural detection systems of organisms at the molecular level for use in developing novel manmade sensors. Research in natural materials focuses on using existing organisms or bioengineered organisms to manufacture new materials, or using the organisms themselves as materials. The primary areas investigated by this Project are ceramics, non-metallic hybrid composites, metallic materials, and natural materials and systems.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","5-d4d6e5589d56b5fdaeadedb3a817d76db0bbd9143ee83bfc3c83e687e55c27c0","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612307","Fluid Mechanics","25.579","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3002 in this Program Element (exception: the sensory information systems major thrust efforts moved to Project 3003) to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Fluid mechanics basic research advances fundamental knowledge, tools, data, concepts, and methods for improving the efficiency, effectiveness, and reliability of air and space vehicles. The goals are to improve theoretical models for aerodynamic prediction and design, as well as to originate flow control concepts and predictive methods used to expand current flight performance boundaries through enhanced understanding of key fluid flow (primarily high-speed air) phenomena. Vehicle control principles based upon natural flight sensory and sensorimotor systems applicable to small remotely piloted aircraft (RPAs) and ultraslow flight are also examined. Basic research emphasis is on turbulence prediction and control, unsteady and separated flows, subsonic/supersonic/hypersonic flows, and internal fluid dynamics. The primary approach is to perform fundamental experimental investigations and to formulate advanced computational methods for the simulation and study of complex flows, prediction of real gas effects in high-speed flight, and control and prediction of turbulence in flight vehicles and propulsion systems. Primary areas of research investigated by this Project are unsteady aerodynamics, supersonic and hypersonic aerodynamics, turbulence, and rotating and internal flows characteristic of turbomachinery flows.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","6-9a03701dc4af184eb552522e259eea734dcf0d8aab98c9544713c60337692988","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612308","Propulsion","33.329","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3002 in this Program Element (exception: the bioenergy major thrust efforts moved to Project 3003) to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Propulsion basic research expounds fundamental knowledge to enable and enhance efficient utilization of energy in airbreathing engines, chemical and non-chemical rockets, and combined cycle propulsion systems for future rapid global reach and on-demand space access. Basic research thrusts include airbreathing propulsion, space power and propulsion, high altitude signature characterization and contamination, propulsion diagnostics, thermal management of space-based power and propulsion, and the synthesis of new chemical propellants. These thrusts can be grouped into reacting flows and non-chemical energetics. Study of reacting flows involves the complex coupling between energy release through chemical reaction and the flow processes that transport chemical reactants, products, and energy. Non-chemical energetics research includes both plasma and beamed-energy propulsion for orbit-raising space missions and ultra-high energy techniques for spacebased energy utilization. Primary areas of research investigated by this Project are space power, propulsion, combustion, and diagnostics. As a newly emerging research direction within this Project, bioenergy and catalysis will investigate the economical production of renewable biofuels for airbreathing engines and will explore biocatalysis for compact power applications.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","7-cf43dfe47775840b320ba4d007011e3699b6042e6838d7a8b214c9bb9e305a2d","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"612311","Information Sciences","50.657","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts were moved from this Project to Project 3003 in this Program Element (exception: the sensing, surveillance, and navigation major thrust efforts moved to Project 3001) to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.","Information sciences basic research generates fundamental knowledge and understanding to support critical Air Force capabilities in information superiority, precision targeting (or strike), and improved battle space awareness. Areas of research focus are (1) access to disparate data and information, (2) information fusion and distribution, and (3) conversion of information into knowledge to support decision making. The data, fusion engines, and command and control functions reside on interlocking systems connected by networks leading to a system of systems architecture. Areas of research underpinning these team-focused, network-enabled systems are those in networks and communications, software, information management, and human-system interactions. Complementing these overall focus areas, research is occurring in the following areas: information operations network, software, and system architectures; information fusion; information forensics; communications and signals and control of large systems. Information Sciences also derive mathematical models and computational algorithms designed to optimize information intelligently and problem-solving under adverse conditions, including sustained operations, non-cooperative environments, and multi-interactive command and control.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","8-1d14a1344336dad4543935646b6fbe02469b68fc6db0dd004d47d347cb6123b2","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
"613001","Physics and Electronics","0.000","110.120","112.422","112.422","0.000","116.344","120.753","123.101","124.107","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","Note: In FY 2012, all efforts from Projects 2301 and 2305 in this Program Element (PE) as well as the sensing, surveillance, and navigation major thrust effort in Project 2311 in this PE moved to this new Project to more appropriately describe and align the changing focus of the scientific disciplines within the overall program.  Note: In FY 2013, traditional laser efforts moved from Thrust 1 to Thrust 3 in this PE to more appropriately align the scientific disciplines.","Basic research in the Physics and Electronics Project seeks to enable revolutionary advances in, and expand the fundamental knowledge supporting technologies critical to the future of the Air Force. Research stresses high-risk, far-term, game-changing capability breakthroughs essential for future leaps in warfighter system performance, functionality, reliability, and survivability while simultaneously reducing component and system power, size, mass, and life cycle costs. Major thrust areas being investigated in this Project are complex electronics and fundamental quantum processes; plasma physics and high energy density non-equilibrium processes; and lasers and optics, electromagnetics, communication, and signal processing. Although the major thrust descriptions that follow are specific sub-areas of focus within this Project, there is interest in exploring novel ideas that may bridge these major thrusts as well as those in the other Projects within this PE.","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","9907235a9583400d9731144a7e9e1ba4b71bef30b77392ed023c0527e5dccdcd","9-681ae2e0f8ae0b5a7fec1f2bd7fff2b4beaf124b0b3e3849f0fb0fdfdbac279a","","","0-1bca30b17c7e1e8ce532ec5af92282378bdb6eff9ad1b604af1cf33f0411b4a9","root"
