Title_val,Description_val,Accomplishment_PriorYear_Funding_val,Accomplishment_PriorYear_Text_val,PlannedProgram_CurrentYear_Funding_val,PlannedProgram_CurrentYear_Text_val,PlannedProgram_BudgetYearOne_Funding_val,PlannedProgram_BudgetYearOneBase_Funding_val,PlannedProgram_BudgetYearOneBase_Text_val,PlannedProgram_BudgetYearOneOCO_Funding_val,PlannedProgram_BudgetYearOneOCO_Text_val,PlannedProgram_AppChangeSummary_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Complex Electronics and Fundamental Quantum Processes","Scientific focus areas are atomic and molecular physics, photonics, quantum electronic solids, adaptive multi-mode sensing and ultra-high speed electronics, semiconductor and electromagnetic materials, and optoelectronics.","42.390","Air Force Research Laboratory joined with the University of Hawaii at Manoa quantum computing research group to explore the frontiers of theoretical and experimental quantum physics. This technology advanced a wide-range of applications including Atom interferometry for precision navigation in GPS-denied environments. Explored a wide range of complex materials and devices, including non-linear optical materials, photonics, optoelectronics, meta-materials, cathodes, dielectric and magnetic  materials, semiconductor lasers, memristive systems, new classes of high-temperature superconductors, quantum dots, quantum wells and graphene. Included generating and controlling quantum states, such as superposition and entanglement, in photons and ultracold atoms and molecules.","44.043","Explore a wide range of complex materials and devices, including non-linear optical materials, photonics, optoelectronics, meta-materials, cathodes, dielectric and magnetic  materials, semiconductor lasers, memristive systems, new classes of high-temperature superconductors, quantum dots, quantum wells and graphene. Includes generating and controlling quantum states, such as superposition and entanglement, in photons and ultracold atoms and molecules.","40.491","40.491","Continue to explore a wide range of complex materials and devices, including non-linear optical materials, photonics, optoelectronics, meta-materials, cathodes, dielectric and magnetic  materials, memristive systems, new classes of high-temperature superconductors, quantum dots, quantum wells and graphene. Includes generating and controlling quantum states, such as superposition and entanglement, in photons and ultracold atoms and molecules.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","0-62e93cea220b958ea47091b30741e106616c88d358357ae583389d5ffdb8d6ce","0-7c3bff47f36b81b20a2dadfcfa1723f22cef13a08048e58b9cc16dc73e3f285b","root.record.ProjectList.Project"
"Plasma Physics and High Energy Density Non-Equilibrium Processes","Scientific focus areas are plasma, electro-energetic physics and space sciences.","18.596","Co-funded research to develop a simple, inexpensive way to alter the thermal conductivity of the widely used material lead zirconate titanate (PZT) at room temperature with application for signal processing, which span many dimensions, spatial, temporal, and frequency. Explored a wide range of activities characterized by processes sufficiently energetic to require the understanding and managing of plasma phenomenology and the non-linear response of materials to high electric and magnetic fields. Included space weather, plasma control of  boundary layers in turbulent flow, plasma discharges, Radio Frequency (RF) propagation, RF-plasma interaction, and high-power, beam-driven microwave devices.","19.321","Explore a wide range of activities characterized by processes sufficiently energetic to require understanding and managing plasma phenomenology and the non-linear response of materials to high electric and magnetic fields. Includes space weather, plasma discharges, RF propagation, RF-plasma interaction, and high-power, beam-driven microwave devices.","20.856","20.856","Continue to explore a wide range of activities characterized by processes sufficiently energetic to require understanding and managing plasma phenomenology and the non-linear response of materials to high electric and magnetic fields. Included space weather, plasma discharges, RF propagation, RF-plasma interaction, and high-power, beam-driven microwave devices.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","1-a6c1355e336cd7c31e2a74739334f5fba108df1f4ec16571d26395e747d4b7ea","0-7c3bff47f36b81b20a2dadfcfa1723f22cef13a08048e58b9cc16dc73e3f285b","root.record.ProjectList.Project"
"Lasers and Optics, Electromagnetics, Communication and Signal Processing","Scientific focus areas are physical mathematics and applied analysis, novel computational methods, dynamics sensing capability, electromagnetics, remote sensing and imaging physics, and surveillance and navigation.","31.345","Funded the creation of a magnetic-free, small (75x reduction) and more efficient radio wave circulator for use in wireless device at double the current bandwith. This smaller size can be easily integrated into circuit boards of modern communications devices, providing cost savings due to weight reduction.  Explored all aspects of producing and receiving electromagnetic and electro-optical signals, as well as their propagation through complex media, including adaptive optics and optical imaging. Investigated aspects of the phenomenology of lasers including high energy lasers, non-linear optics, and ultra-short pulse laser science. Included the development of sophisticated mathematics and algorithm development for extracting information from complex and/or sparse signals.","32.568","Explore all aspects of producing and receiving electromagnetic and electro-optical signals, as well as their propagation through complex media, including adaptive optics and optical imaging. Continue to investigate aspects of the phenomenology of lasers including high energy lasers, non-linear optics, and ultra-short pulse laser science. Includes the development of sophisticated mathematics and algorithm development for extracting information from complex and/or sparse signals.","38.720","38.720","Continue to explore all aspects of producing and receiving electromagnetic and electro-optical signals, as well as their propagation through complex media, including adaptive optics and optical imaging. Continue to investigate aspects of the phenomenology of lasers including high energy lasers, non-linear optics, and ultra-short pulse laser science. Includes the development of sophisticated mathematics and algorithm development for extracting information from complex and/or sparse signals.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","2-def6976ff7316e78c6f532f01646923f43ce235f729cb304e9a06c8c8491a7c0","0-7c3bff47f36b81b20a2dadfcfa1723f22cef13a08048e58b9cc16dc73e3f285b","root.record.ProjectList.Project"
"Aero Structure Interactions and Control","Scientific focus areas are high temperature aerospace materials, hypersonics, aerothermodynamics and turbulence, and flow interactions and control.","27.543","Supported a wind tunnel test to better understand the vortex ring state, a well-known problem in helicopter descent. This research will lead to techniques to avoid severe loss of lift in small-scale aerial vehicles.  Investigated the characterization, modeling, and exploitation of interactions between the unsteady aerodynamic flow field and the dynamic air vehicle structure to enable enhanced performance in next generation Air Force systems. Explored the synergy gained from an interdisciplinary look at multiple technologies and the integration of core disciplines of fluid mechanics, material properties, high-performance structures, and thermodynamics.","31.041","Investigate the characterization, modeling, and exploitation of interactions between the unsteady aerodynamic flow field and the dynamic air vehicle structure to enable enhanced performance in next generation Air Force systems. Explore the synergy gained from an interdisciplinary look at multiple technologies and the integration of core disciplines of fluid mechanics, material properties, high-performance structures, and thermodynamics.","31.105","31.105","Continue to investigate the characterization, modeling, and exploitation of interactions between the unsteady aerodynamic flow field and the dynamic air vehicle structure to enable enhanced performance in next generation Air Force systems. Explore the synergy gained from an interdisciplinary look at multiple technologies and the integration of core disciplines of fluid mechanics, high-performance structures, and thermodynamics.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","0-25d95eb97196cf261c196441da24a38a2484912cadd81afc6b923822cf6575b6","1-73b6ce4e7e148c743465a280b8f1f18a291b2e32e394cbca0f0f1ac29c370866","root.record.ProjectList.Project"
"Energy, Power, and Propulsion","Scientific focus areas are thermal control, theoretical chemistry, molecular dynamics, space power and propulsion, and combustion and diagnostics.","33.645","Supported a Hall thruster experiment onboard the X-37B reusable space plane. The experiment will enable in-space characterization of Hall thruster design modifications intended to improve performance relative to current state-of-the-art units. This results in increased payload carrying capacity and a greater number of on-orbit maneuvers for a spacecraft versus using traditional rocket engines. Exploited technological innovations and developed potentially revolutionary technologies by integrating core disciplines of combustion, plasma dynamics, chemistry, hybrid simulation, structures, and materials. Investigated processes associated with the generation, storage, and utilization of energy, specifically for Air Force systems. Included developing novel energetic materials as well as understanding and optimizing combustion processes.","37.916","Exploit technological innovations and develop potentially revolutionary technologies by integrating core disciplines of combustion, plasma dynamics, chemistry, hybrid simulation, structures, and materials. Investigate processes associated with the generation, storage, and utilization of energy, specifically for Air Force systems. This includes developing novel energetic materials as well as understanding and optimizing combustion processes.","33.513","33.513","Continue to exploit technological innovations and develop potentially revolutionary technologies by integrating core disciplines of combustion, plasma dynamics, chemistry, hybrid simulation, and structures. Investigate processes associated with the generation, storage, and utilization of energy, specifically for Air Force systems. This includes developing novel energetic materials as well as understanding and optimizing combustion processes.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","1-03f280fd41ef670d5474cb11e379fd12bdfde5c65905bc49f73beb4dbfecb465","1-73b6ce4e7e148c743465a280b8f1f18a291b2e32e394cbca0f0f1ac29c370866","root.record.ProjectList.Project"
"Complex Materials and Structures","Scientific focus areas are mechanics of multifunctional materials and microsystems, multi-scale mechanics and prognosis, low density materials, and polymer chemistry.","34.498","Supported the development of a next-generation lithium-ion battery made using Kevlar membrane that demonstrated a 20% increase in storage capacity. Investigated multifunctional materials and structures composed of different classes of materials that may be able to change functionality or performance characteristics to enhance the mission versatility of future air and space systems, with a key goal of increasing functionality while decreasing weight and volume. Explored complex materials, microsystems, and structures that incorporate hierarchical design and functionality from the nano-scale through the meso-scale, ultimately leading to controlled, well-understood material or structural behavior capable of dynamic functionality and/or performance characteristics to enhance mission versatility.","38.876","Investigate multifunctional materials and structures composed of different classes of materials, both organic and inorganic, that may be able to change functionality or performance characteristics to enhance the mission versatility of future air and space systems, with a key goal of increasing functionality while decreasing weight and volume. Explore complex materials, microsystems, and structures that incorporate hierarchical design and functionality from the nano-scale through the meso-scale, ultimately leading to controlled, well-understood material or structural behavior capable of dynamic functionality and/or performance characteristics to enhance mission versatility.","40.866","40.866","Continue to investigate multifunctional materials and structures composed of inorganic materials that may be able to change functionality or performance characteristics to enhance the mission versatility of future air and space systems, with a key goal of increasing functionality while decreasing weight and volume. Explore materials, microsystems, and structures that incorporate hierarchical design and functionality from the nano-scale through the meso-scale, ultimately leading to controlled, well-understood material or structural behavior capable of dynamic functionality and/or performance characteristics to enhance mission versatility.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","2-8e5dd6ad4261cbb5e4e8ef6eb6c60391f66081e09f58a0b3e89f302fe4dcf679","1-73b6ce4e7e148c743465a280b8f1f18a291b2e32e394cbca0f0f1ac29c370866","root.record.ProjectList.Project"
"Information and Complex Networks","Scientific focus areas are systems and software, information operations and security, information fusion, and complex networks.","25.867","Supported the development of efficient and intelligent algorithms for multifunctional reconfigurable antennas that can adapt to better detect a signal's direction, frequency and polarization.  Designed and analyzed techniques to enable reliable and secure exchange of information and predictable operation of networks and systems. Included traditional aspects of information assurance, software engineering, and reliable systems, but the emphasis was on the underlying mathematics of secure-by-design architectures of networked communications and neural information processing. Sub-areas included system and network performance prediction, design and analysis, and modeling of human-machine systems.","27.715","Design and analyze techniques to enable reliable and secure exchange of information and predictable operation of networks and systems, including hardware and software interactions. This includes traditional aspects of information assurance, software engineering, and reliable systems, but the emphasis is on the underlying mathematics of secure-by-design architectures of networked communications and neural information processing. Sub-areas include system and network performance prediction, design and analysis, and modeling of human-machine systems.","25.825","25.825","Continue to design and analyze techniques to enable reliable and secure exchange of information and predictable operation of networks and systems. This includes traditional aspects of information assurance, software engineering, and reliable systems, but the emphasis is on the underlying mathematics of secure-by-design architectures of networked communications and neural information processing. Sub-areas include system and network performance prediction, design and analysis, and modeling of human-machine systems.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","0-1e347c450758b49a9f4808f6e1f3aec73e5f99eeefc5d5548e5aa39e6cc4a59b","2-6a8ec1163ac49c733ecb895d8bc827b9cbd980dfc64d9884c6a2d88f0a90a42b","root.record.ProjectList.Project"
"Decision Making","Scientific focus areas are mathematical modeling of cognition and decision making,  trust between humans and autonomous agents, and mixed human-machine decision making.","18.590","Transitioned university research effort on cultural and organizational factors that affect trust of and reliance on automated systems to Program 0602202, Human Effectiveness Applied Research. Investigated new mathematical laws, scientific principles, and robust algorithms that underlie intelligent, mixed human-machine decision making to achieve accurate real-time projection of expertise and knowledge into and out of the battlespace. Included efforts to advance the critical knowledge base in information sciences and information fusion, and to model individual and group cognitive processing and decision making.","19.918","Investigate new mathematical laws, scientific principles, and robust algorithms that underlie intelligent, mixed human-machine decision making to achieve accurate real-time projection of expertise and knowledge into and out of the battlespace. This includes efforts to advance the critical knowledge base in information sciences and information fusion, and to model individual and group cognitive processing and decision making.","20.140","20.140","Continue to investigate new mathematical laws, scientific principles, and robust algorithms that underlie intelligent, mixed human-machine decision making to achieve accurate real-time projection of expertise and knowledge into and out of the battlespace. This includes efforts to advance the critical knowledge base in information sciences, and to model individual and group cognitive processing and decision making.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","1-606426a200ec651890d7a165a7b24306310e6fe4777052ca5548681cba1de7cc","2-6a8ec1163ac49c733ecb895d8bc827b9cbd980dfc64d9884c6a2d88f0a90a42b","root.record.ProjectList.Project"
"Dynamical Systems, Optimization, and Control","Scientific focus areas are computational mathematics, dynamics and control, and optimization and discrete mathematics.","27.010","Funded the development of a dynamic multi-robot control algorithm that fuels a tablet-based control system. Developed new scientific concepts supported by rigorous analysis for advancing the science of autonomy and promoting the understanding necessary to analyze and design complex multi-scale systems as well as provide guaranteed levels of performance. Included study of novel adaptive control strategies for coordinating heterogeneous, autonomous, or semi-autonomous aerospace vehicles in uncertain, information rich, dynamically changing, adversarial, and networked environments.","28.941","Develop new scientific concepts supported by rigorous analysis for advancing the science of autonomy and promoting the understanding necessary to analyze and design complex multi-scale systems as well as provide guaranteed levels of performance.  Develop novel adaptive control strategies for coordinating heterogeneous, autonomous, or semi-autonomous aerospace vehicles in uncertain, information rich, dynamically changing, adversarial, and networked environments.","26.575","26.575","Continue to develop new scientific concepts supported by rigorous analysis for advancing the science of autonomy and promoting the understanding necessary to analyze and design complex multi-scale systems as well as provide guaranteed levels of performance. The includes developing novel adaptive control strategies for coordinating heterogeneous, autonomous, or semi-autonomous aerospace vehicles in uncertain, information rich, dynamically changing, adversarial, and networked environments.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","2-a68039fb969326bb9472f244ca60762d0d74363053cc233b6aa5231d7ddc4c8c","2-6a8ec1163ac49c733ecb895d8bc827b9cbd980dfc64d9884c6a2d88f0a90a42b","root.record.ProjectList.Project"
"Natural Materials and Systems","Scientific focus areas are renewable energy, natural materials and nature inspired systems.","23.651","Supported the successful fabrication of the first organic quantum dot light-emitting diodes (LEDs) by using a 3-D printer.  The proof of concept activity is a significant step toward using 3-D printing to create on-demand, simple parts and devices.  Investigated multi-disciplinary approaches for studying, using, mimicking, synthesizing and adapting to the ways natural systems accomplish their required tasks. Studied how to adapt and mimic existing natural sensory systems and add existing capabilities to these organisms with the intent to gain more precise control over their material production.","25.340","Investigate multi-disciplinary approaches for studying, using, mimicking, synthesizing and adapting to the ways natural systems accomplish their required tasks. Study how to adapt and mimic existing natural sensory systems and add existing capabilities to these organisms with the intent to gain more precise control over their material production.","28.718","28.718","Continue to investigate multi-disciplinary approaches for studying the ways natural systems accomplish their required tasks. Study how to adapt and mimic existing natural sensory systems and add existing capabilities to these organisms with the intent to gain more precise control over their material production.","","","","2017-BASE_RDTE-2017-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","ff7c6372bf0cab45b7d01c3d68fafd5c10d4e6a95fb10b96322bdb3b86d0d76c","3-0edc9ac80702e1c0e6d585aeac00f0eaa868a2047269bc8651218ed4400649d8","2-6a8ec1163ac49c733ecb895d8bc827b9cbd980dfc64d9884c6a2d88f0a90a42b","root.record.ProjectList.Project"
