Title_val,Funding_TotalPreviousYears_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_CostToComplete_val,Funding_TotalCost_val,Funding_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Other Service Program Funding Adjustment","3.000","35.385","76.257","254.849","254.849","1876.282","2245.773","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","017c8f00c871523a2f3d4d17b06dc78f4e1f2eea28d5655a912eb909be989baf","0-aabef2729cd82d5477c34e31715ad8fd96016f37d50b8be0e7765d653ff67940","0-dbff7f50cb0251ca1c9dd642dad1f7f1a32d25b116b27610294d15a373d0b2ac","root.record.ProjectList.Project"
"Other Service Funding Adjustment","25502.113","961.895","990.708","1033.374","1033.374","179.029","28667.119","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","a74db4fecefeb2d60a14a49a33bf781d089291b42e8bcf5f4e40767fe52eac1d","0-f1279c1563de6c736bfecc99ee0455f84fb55fc9952383e20e6fab7829310802","0-ba8b353c0781b806612450c1764f43883f70b1825b8b2cee53b23f175576a2df","root.record.ProjectList.Project"
"Other Service Funding Adjustment","32.751","34.111","118.265","68.178","68.178","31.158","284.463","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","a74db4fecefeb2d60a14a49a33bf781d089291b42e8bcf5f4e40767fe52eac1d","0-e35ce37072076251b9801023243d4abff67f33f1628abc288871739857d6f64d","1-d9c257a88bd89207cc037449d2c92bb3b473952537eac89c855201a079650a05","root.record.ProjectList.Project"
"Other Service Funding Adjustment","25502.113","961.895","990.708","1033.374","1033.374","179.029","28667.119","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2017.xml","74eef2ed7df5ac28827a831935c957af0deba4c52b9050497535dcc37a9893a0","0-4b18dcc26fefe5d8c811aadadecff6a2344b30cf1183287b14e61708cb679427","0-31082a7f013d5812255b2c30678088b81202b6efb2821eb64f55fd5fafe0048e","root.record.ProjectList.Project"
"Other Service Funding Adjustment","32.751","34.111","118.265","68.178","68.178","31.158","284.463","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2017.xml","74eef2ed7df5ac28827a831935c957af0deba4c52b9050497535dcc37a9893a0","0-2b673024a03c2c9e4f9274d22e9524b52e0741897cdd7dfcbf35eb8a6799b837","1-754d5080a2567b055f1b9e347cb87bc431673ef31bbd996b3375bd0305b80591","root.record.ProjectList.Project"
"Other Service Program Funding Adjustment","3.000","35.385","76.257","254.849","254.849","1876.282","2245.773","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2017.xml","69ef633e45a49d0cacace0bd85fe6a0ab5ae3d9b10d8685d13de73eda782b6a4","0-f042b95f19078c7c949c9715e035e621e52f7f8202b1813253435093dd76dcac","0-0c97617514de55f3c1273d5e312b4d617ee1e6660988cf8562c34d1afdcb09f6","root.record.ProjectList.Project"
"Other Service Funding Adjustment","26466.819","965.464","1033.374","272.128","272.128","122.527","28860.312","","2018-BASE_RDTE-2018-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2018.xml","0d94ee70ddd5f6a9e953e051d098e679eae65457b16883b1a213992111781cc1","0-b7919a727930faa55e6e014d8ef812e1a789e11b9bab89d69af03e2c1ece8676","0-b0af17aec1eb243d4ca17169c0f8e7b0f36cda8c3e6c4176479d87743e39e36c","root.record.ProjectList.Project"
"Other Service Funding Adjustment","60.773","105.477","61.799","24.068","24.068","4.995","257.112","","2018-BASE_RDTE-2018-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2018.xml","0d94ee70ddd5f6a9e953e051d098e679eae65457b16883b1a213992111781cc1","0-f53d32f26bbdbc6b659fb42a4131ff53ad567dd25de22273b80a3cdad63a7eb3","1-20661cbb5d706b687ba88957e5ec5d3f2b2afc3f00b482f37c6b82afff432df9","root.record.ProjectList.Project"
"Other Service Program Funding Adjustment","28.560","63.494","246.161","440.347","440.347","0.000","778.562","","2018-BASE_RDTE-2018-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2018.xml","b45424a1cb314675f9790be904a2d21b3c224af8edd257df221a9cefee201c77","0-0d86816c983c1dbcfa5f4d8444b537119e7f8a1c685b4336c4bd1f964ffde0ad","0-a59ebf64ab9f62779c1988dbf88639c0fa8f2754320c138eb9d5a219653dc788","root.record.ProjectList.Project"
"Other Service Funding Adjustment","26466.819","965.464","1033.374","272.128","272.128","122.527","28860.312","","2018-BASE_RDTE-2018-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.xml","bd8b299d53fad5a78d4c474c6a913e4e20743b4a33557147406bffb518122bca","0-f0f7994199f163042424a9c90e226d61d5156d51549ccfe1fd14d8e932049ac4","0-865ee5b7130c9fcc3b7949b075e90cadb5779c91193f7b8339d92c9d1681dd44","root.record.ProjectList.Project"
"Other Service Funding Adjustment","60.773","105.477","61.799","24.068","24.068","4.995","257.112","","2018-BASE_RDTE-2018-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.xml","bd8b299d53fad5a78d4c474c6a913e4e20743b4a33557147406bffb518122bca","0-2b642cf155051002ea25c579984ccd40c6ba8872f8838b1307cc743473ab72f4","1-983b41bcfabfe05364c2672d7b79a976298a4fd970aa5d62920f9d2135b1d85b","root.record.ProjectList.Project"
"Other Service Program Funding Adjustment","28.560","63.494","246.161","440.347","440.347","0.000","778.562","","2018-BASE_RDTE-2018-AIRFORCE_V3A-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_RDTE_MasterJustificationBook_Air_Force_PB_2018.xml","e80d134d1767b41d2b2548f02fd6d4a94639026c468ce601ff953b1c5ffa688f","0-016881150a115ed81dee0e7e2a0b5ca9c25b63a28dff9ffe4374fd8af10da570","0-13072a28758c4dc95de9f0d3a78be807659f58cf0c9858108d9cc98a37bccbc8","root.record.ProjectList.Project"
"Other Service Funding Adjustment","","1007.102","272.128","127.103","127.103","","","","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","ecfeafb187d2faffe9373a3b80b11c9aba5e3b4d711cda3eff9b7a51f4211af7","0-5c861be3513cff86062805868580081295b116c793d992fe6bf0ef27f362a21f","0-c0d9e4eff64e5c4d82d47696157c053901693da029364ce7f5c6e5d2d355f5f2","root.record.ProjectList.Project"
