LineItem_val,Title_val,Funding_PriorYear_val,Funding_CurrentYear_val,Funding_BudgetYearOne_val,Funding_BudgetYearOneBase_val,Funding_BudgetYearOneOCO_val,Funding_BudgetYearTwo_val,Funding_BudgetYearThree_val,Funding_BudgetYearFour_val,Funding_BudgetYearFive_val,Funding_CostToComplete_val,Funding_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","70b8b6025e3ccf438b0596ad3fd2d5bbf33586a986ad7760e27e31e35214e03b","0-988081e74bb34f28fc7be2387e21e8f38b6c3e603adb90dd720668ecc8017a52","0-bbe124d3c7a989bc69db9250933201dcf7cc46147fc407bf6acad3568965cee5","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","70b8b6025e3ccf438b0596ad3fd2d5bbf33586a986ad7760e27e31e35214e03b","0-a453312bc1927f83d590dcaf5c8e6bd8759310f832c26c316e8297ce6a7b8cb6","1-825f049e0fe2f6f7f95c25e705e2aab77b0531f807accfae27f8805a0760ca09","root.record.ProjectList.Project"
"None","None","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","7b3b5d8a6ae2a3e451aadea05002409c5b2c99320247277ff88279585a53e796","0-80ee5495aeb6163f5bb6403b3d655cb1be6728c5cf72d1640abcea3e67e941e3","0-643f1f2cb6e9ac211ce7e82ddbb8df645745b6938e48951a5158eb2246a10d66","root.record.ProjectList.Project"
"PAAF: BA01: Line Item #353190","WRM-Ammunition (MOP)","0.000","39.690","3.600","3.600","0.000","0.000","0.000","0.000","0.000","0.000","39.690","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","36a52f6b1d633916e8c044e1ecfe52a0cbf8074e26b697196ff7dbfe16bed2b0","0-040e134ca8e3d619ce6a61e4c262d52fde73a7598bbf8e390394df9a1aca24d1","0-3e8beb84b1660946dd525a3d1ce59b8c0bbc978186870b1e99e3bb235d1f1eb6","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","e6e14ce61703332f3c27a0721f88b6cc6d4971c9aa0befc030397898391d0c3d","0-c61e6ac630ec03752b2de5a574fa37b9a93ab230ae7d38a9896f9d25a4fa514e","0-44d4664ea40d706f45ac38d358ba2983a16d959d4c605fac164e2d6a878d5fb9","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","4a853125234155dac9b673d62e339831163eb0f0dd5d22c4aca2583ceb996f22","0-13e12b265b62cc10b3b1699f36410f1d8acf4638c2cb2bff55bdd03fa033e387","0-a07f6d3f7cf8360ca263392925a324f3f4d0f51adff76b64df229888d3c9ac92","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","4a853125234155dac9b673d62e339831163eb0f0dd5d22c4aca2583ceb996f22","0-5bfb22d09adb386b0fdd13d31f418a2aab7916541558b987961c7f5a2892d191","1-a47a89d2fac005c079dd21015a5bae6aa4d1025d1e987c4977f40483df3adb85","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","4a853125234155dac9b673d62e339831163eb0f0dd5d22c4aca2583ceb996f22","0-01830732f163a076286fe07b55bbbe1469f58dd5555bb9c6d8300107e28f00ce","3-8a25b7e47715646998d41b9709547ac627003dc834e83d051d6fffefcae128d0","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","4a853125234155dac9b673d62e339831163eb0f0dd5d22c4aca2583ceb996f22","0-6f3c08a9211193e53fcd990f3423c9f8090e50c72bd45f3cf81b34fa92dcbe7c","4-428a2b9b5c4aa5a8f358c9528ae6cf1039fb4746a2ad39f7655a0ee6e7157cb8","root.record.ProjectList.Project"
"RDTE: BA04: 0604422F","Weather System Follow-On","30.890","56.044","118.953","118.953","0.000","151.650","153.330","61.893","36.903","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","e14ef5980a81dd460afceb819c0c3ead331b42cff4213d3f3d07f5f5475bdd61","0-2827e6b8d081b3939fb4bac3e18046f80c5c680651a7f237cd14b7dea30725fa","0-90702dfa4bed63629cb669435fb8ce6041c0c65aa3627add36cb3ba920c10bce","root.record.ProjectList.Project"
"N/A","N/A","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","87f0f7e3c1eed4d02841e60cfe8dd7eb84d24fc4784da58532172c4b46ab3363","0-2fc0ae44d9c50475fde28168e7e42a1377671c59534f425bb02d430463a856b1","1-885d9e42ded562994564aaa9e0039ec8468f2b483340b4dbdfc475194c9f422f","root.record.ProjectList.Project"
"RDTE:BA04:PE 0603851F","Intercontinental Ballistic Missile - Dem/Val","30.388","39.765","108.663","108.663","0.000","72.604","67.655","64.922","66.071","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","41a58d74ace68f07edbb6c113d0a7c577ff31950b2b4021acdaf813b18ab162c","0-d7f38a2031de381ffc12a93d5bef74ae2b899449d2e71db063d1796640204307","0-de0a190f53fbe9bcbb557a626ee4f3d2b6f70209aa6909bb6103a13a95e028ba","root.record.ProjectList.Project"
"RDTE:BA07:PE 0101213F","Minuteman III Ops Equipment","18.205","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","Continuing","Continuing","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","41a58d74ace68f07edbb6c113d0a7c577ff31950b2b4021acdaf813b18ab162c","1-41ab41e0b8c14b7cebd6d4406349dee89687acaa228ff9dffe216f20a00f1cd6","0-de0a190f53fbe9bcbb557a626ee4f3d2b6f70209aa6909bb6103a13a95e028ba","root.record.ProjectList.Project"
"N/A","None","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","","","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","308a0faeb594ece88bca75eb7a61ee6f29446e041406f6d91f4717dd61deaa28","0-d8990f3c4f256eec032db470c0aff2ee3cc98cda83449709e45342cb3d90b0d8","0-105259ece54966ebad8101e1929bc4cc6919eacba7d0289e6946334f572b8a74","root.record.ProjectList.Project"
"OPAF: BA04: Line Item # 833060","3D Expeditionary Long Range Radar","0.000","0.000","0.000","0.000","0.000","44.379","153.048","162.167","165.084","587.425","1116.177","2017-BASE_RDTE-2017-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","448b6dba692b09db558903851aa35743ee35ab76eeb5cdf443453e6c8cb356d0","0-53483700bfba59048356c8bcd3e4289ec75b236a477aea29ab12cc3b6a61e813","0-ef52711d17625ce0ad1b9e7a43da2a65716d6e8e50233ba626253dc6c8f31ae5","root.record.ProjectList.Project"
