Name_val,@SOURCE_FILENAME,@RECORDID,@ROWID,Remarks_val,@PARENTROWID,@PARENT
"Product Development","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","0-4ddf14d027995cf53f5498f783a4a1500cbefbe83fd0c6c2461f5865c162da43","","0-663b6ae332bb5c142bf688f8bbb8f5c3f69edb1a8cb1d555aadc87d70bee8f78","root.record.ProjectList.Project"
"Support","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","1-218da66f64ead06862779436bbfeaba1240916ded86cf128f7cb0d5b30054c71","","0-663b6ae332bb5c142bf688f8bbb8f5c3f69edb1a8cb1d555aadc87d70bee8f78","root.record.ProjectList.Project"
"Test and Evaluation","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","2-bbd3180675ec553068b10913872f4e23e68904c182acd2b4d8ffbcd11c5e18f8","","0-663b6ae332bb5c142bf688f8bbb8f5c3f69edb1a8cb1d555aadc87d70bee8f78","root.record.ProjectList.Project"
"Management Services","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","3-9867b095f546abd7d8687f496f3f6a28687500f815061a6622f9661893c1fc1c","","0-663b6ae332bb5c142bf688f8bbb8f5c3f69edb1a8cb1d555aadc87d70bee8f78","root.record.ProjectList.Project"
"Product Development","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","0-e608088e8044c6c1a73d17969466f37e5bdf9c5bac08cc6c53abe5c4b38d843e","","1-a7a63933c0d47bb2eb9e4857509356c4a4465eec17a20aae5b87d2873dd71bb0","root.record.ProjectList.Project"
"Support","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","1-3f27e53604c27dbdddab6881634025110377eb02056e101b13b3408f8d5fdac5","","1-a7a63933c0d47bb2eb9e4857509356c4a4465eec17a20aae5b87d2873dd71bb0","root.record.ProjectList.Project"
"Test and Evaluation","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","2-7ede5771b8fc03c46aae2927983bbd8800dff876774692048ed12e44b4acfb01","","1-a7a63933c0d47bb2eb9e4857509356c4a4465eec17a20aae5b87d2873dd71bb0","root.record.ProjectList.Project"
"Management Services","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","21a9fc07e28bc0f024e057a0fad289fdfcd78b57b90705ca14882c6c0d6d2508","3-c58f056620daa71a91cb7fddbb64ead6f2b7d292d604d1b3e522e97d814708bf","","1-a7a63933c0d47bb2eb9e4857509356c4a4465eec17a20aae5b87d2873dd71bb0","root.record.ProjectList.Project"
"Product Development","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","b8b94dcd0c9c32fdd40b929282879d868e6b1a542259761e91717c1345556558","0-87f02ed5ae9853b86decd4ac5c32fcff300474770dfca3a18721fc5357f33f12","","0-6761df6f2b8d34f9d718efc035de52f5819662e8af8e8ee57222b77f8306e04a","root.record.ProjectList.Project"
"Support","","2017-BASE_RDTE-2017-AIRFORCE_V3A-U_RDTE_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2017.xml","b8b94dcd0c9c32fdd40b929282879d868e6b1a542259761e91717c1345556558","1-fac52b681bc5aad9babe2d3b465e2a75dd85c90c2d4b9e4d6869feffc8f8e5b0","","0-6761df6f2b8d34f9d718efc035de52f5819662e8af8e8ee57222b77f8306e04a","root.record.ProjectList.Project"
