EventTitle_val,Schedule_Start_Quarter_val,Schedule_Start_Year_val,Schedule_End_Quarter_val,Schedule_End_Year_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"UP AoA (Common Services, formally Operate and Defend the DoDIN)","1","2016","1","2019","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","0-a7b97a9cd7c4cd8b28d7804c97409f6898937a6f8d83ed26290467242469b00b","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"UP RR (Common Services)","1","2017","4","2018","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","1-870d05c21a7d6dd1acfe92aa078a7b38657048c9289c2a51c32c00dc1d8fb699","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"Cyber C2 Pilot (Common Services, formally Combatant Command Suppport)","1","2016","4","2017","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","2-34e864b0157b2ba1b77804bdd2e664cf2c26c087279f90f2c8dcd91fcf74c87a","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"Cyber C2 FOC (Common Services)","1","2018","4","2019","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","3-4a373d4a01b3c0949ab8de73698895d458b8c3449a1ef5af629492bd3ad4465e","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"Cyber C2 Spiral Development (Common Services)","1","2020","4","2022","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","4-0677fa549e007e633c9518bd0ed7656a1988688ff17da414e4e1f57b3ffb9d89","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"Cyber SA Prototype (Common Services, formally Operate and Defend the DoDIN)","1","2016","4","2018","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","5-3bec58ff7371e6eb70bd69bc84f8ffb1d10078cf35bd785dd93c49f033e430ac","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"Cyber SA Spiral Development (Common Services)","1","2019","4","2022","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","6-5065e1e23eb4756041f11e7d43067230dd3e5f142fafdf24e99afed84489d07b","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"Cyber UCAP FOC (Common Services)","1","2017","3","2017","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","7-38c4bb60229f822176eb4347dd425ec2d6e6793d0d4ac81d6741cd013ceeb860","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"Cyber UCAP Spiral Development (Common Services)","3","2019","1","2021","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","8-97eada09c3976295c219a6b492b8392de266b43d329f291b921e998dcaff0e75","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"CYBERCOM access platform FOC (Access Platforms, formally Defend the Nation)","1","2016","3","2017","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","9-056e1cb4a2a7dd9fdc52430bb8288a69591d6bbe8ea7cf396fe381409951dc5a","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
"CYBERCOM access platform spiral development (Access Platforms)","4","2017","4","2022","2018-AMENDED_PROCUREMENT_AND_RDTE-2018-AIRFORCE_RDTE-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PBAmended_2018.xml","6d988d1ae0119dee054230a97d47f769df102c905b33b79be94e118aed5f97a9","10-e8cd38ca7c22768495f76d79473dddad1ef06b42384f4e0172552543a6029081","0-af15f54a49f4d4cec7b593c817a9d4dfedcb20b0cf18e910dff74d072b049c98","root.record.ProjectList.Project"
