EventTitle_val,Schedule_Start_Quarter_val,Schedule_Start_Year_val,Schedule_End_Quarter_val,Schedule_End_Year_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"IET Development","1","2017","4","2022","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","0-959a162e422ece17e0703881b00496a4ba2790edfd025e10263a293701bd428d","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Initiate development of software capability to ingest open source information and fusing with DCGS related sources","1","2017","4","2019","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","1-fe5a2d31e46908d0d5b103ffbe0b87709cde3edf48f58520af32729660b79ac9","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Initiate development of Feature Extractor to assist automation of Tech ELINT screening","1","2017","4","2019","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","2-a9c6972d9dae1c3587559b1e3071d85d3e267057c980b0f1014d70ed5dd3b430","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Initiate development and integration of space based systems modeling capabilities into IMOM planning tool","1","2017","4","2019","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","3-07125fe816808276bde7705ae6eba47cdaf3a5f14932785abe404bec6579c2c1","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Initiate implementation of operational metadata capability for DCGS SIGINT collection systems","1","2017","4","2019","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","4-404dec78a86d6e37a181569035dea93095a69dba050621433a07dcd9f5f4c352","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"FY17 IET User Evaluations","2","2017","2","2017","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","5-35c00d8aa768c1f3159156885cdfad059bc03c58f953c6136eccf2871d04e4c5","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"FY17 IET Prototype Releases","4","2017","4","2017","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","6-81ecb35334edc763de9859b2e62c9b7d0fe46a7e778300995a2caa52183b0fd3","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Complete Development of Capability for Quantitative Mission Assessment and Integrating Future ISR and Combat Mission Capabilities","1","2017","4","2017","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","7-bf1d182880eeacd6d5521df091793c9e84662fd8bbbf5fbf331814697588a8ed","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Complete development of Rivet Joint processing software to enable collecting current/future SIGINT metadata","1","2017","4","2017","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","8-7e94a867e4bd3733a855489c72ecca507f6ad2e595a710e161e327a69f1f82ae","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"FY18 IET User Evaluations","2","2018","2","2018","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","9-671f04346092c1dd1c6b261c4934f5ed6e4828334bfaf024426bd65a9f916dd8","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"FY18 IET Prototype Releases","4","2018","4","2018","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","10-8424bbef3602dd243d3fc43a34a83f28a88f77c0566df487183271a868d5a546","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
"Complete development of search and discovery either by visual pattern recognition/feature extraction or text-based using queries.","1","2018","4","2018","2019-BASE_RDTE-2019-AIRFORCE_V2-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9936d62a29dc73d8575fbba8ef21c9536f7f680b0a5f7177df76b2b96c0e36d3","11-17969e8255d432d93a9224830432fa0ed2cfae964f4b8d393d5513a8a190692e","0-913d9882b53237843a19de4afbfb73b7ca771844b2c741c9227c34530d8a08ad","root.record.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule"
