Title_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Micro-Technology for Positioning, Navigation, and Timing (Micro PN&T)","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","8befc057b1735de4d5f68784ea20f0f519704a98807614e8c4abef2f728d2b17","0-9b9077acb86787b15cd9cee517287f50a5284724d29173c9c2ee65616f30a51e","0-65e1623d38a8beb87d67f86092aca2d32b77a6ea18d26771dd3f6be809ec9a09","root.record.ProjectList.Project"
"Endurance","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","8befc057b1735de4d5f68784ea20f0f519704a98807614e8c4abef2f728d2b17","0-395c60645c6664d8586bdf9853931726039d5f03912efa0032bad1429a9bfebd","1-3c36a7ca71dea1619dff3dd49f547472a1ceb59efe167cd9a6449d0def80a308","root.record.ProjectList.Project"
"Diverse & Accessible Heterogeneous Integration (DAHI)","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","8befc057b1735de4d5f68784ea20f0f519704a98807614e8c4abef2f728d2b17","1-3b3fa3c82984691cb2eaddf0d9ed007e699c44ef162b61fd2ffad7cca31ddab6","1-3c36a7ca71dea1619dff3dd49f547472a1ceb59efe167cd9a6449d0def80a308","root.record.ProjectList.Project"
"FLASH - Scaling Fiber Arrays at Near Perfect Beam Quality","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","8befc057b1735de4d5f68784ea20f0f519704a98807614e8c4abef2f728d2b17","2-f01e0fb3b4bd771171e8dcc2cdbccf0c3ee049906c2c58e41081a0514150762a","1-3c36a7ca71dea1619dff3dd49f547472a1ceb59efe167cd9a6449d0def80a308","root.record.ProjectList.Project"
"Direct SAMpling Digital ReceivER (DISARMER)","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","8befc057b1735de4d5f68784ea20f0f519704a98807614e8c4abef2f728d2b17","3-0e20ceb7be61943df6bc07c0eb8aafb44d7133a39a9ec00d9ef79e27e25916e7","1-3c36a7ca71dea1619dff3dd49f547472a1ceb59efe167cd9a6449d0def80a308","root.record.ProjectList.Project"
"Common Heterogeneous integration & IP reuse Strategies (CHIPS)","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","8befc057b1735de4d5f68784ea20f0f519704a98807614e8c4abef2f728d2b17","4-9e31940a8dbd0fea025c5ce865e8dfbed613d6dc69ecaa3caaa15724da0ef2a6","1-3c36a7ca71dea1619dff3dd49f547472a1ceb59efe167cd9a6449d0def80a308","root.record.ProjectList.Project"
"Precise Robust Inertial Guidance for Munitions (PRIGM)","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","8befc057b1735de4d5f68784ea20f0f519704a98807614e8c4abef2f728d2b17","5-5927e4bd9aba9ca9f146f14ca405a5e71f62fb7df3d844e7822918046c0ed851","1-3c36a7ca71dea1619dff3dd49f547472a1ceb59efe167cd9a6449d0def80a308","root.record.ProjectList.Project"
"100 Gb/s RF Backbone","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","bebea72a9379a5f11a55abf1cbcce61efaa92d30c275343dbe08af10f8a33e84","0-9b201d8718e5a207e77cdaa8899428de2b817c320513f63b6516fac22bafe7e9","0-5ba55bd930154fe7c449f54e0328336c17c640ac7297a4035b77b5c2182a11a1","root.record.ProjectList.Project"
"Spectrum Efficiency and Access","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","bebea72a9379a5f11a55abf1cbcce61efaa92d30c275343dbe08af10f8a33e84","1-5b96460bf13f877198bddb0c09d6425be987fbb077134d732829a325dc0d6358","0-5ba55bd930154fe7c449f54e0328336c17c640ac7297a4035b77b5c2182a11a1","root.record.ProjectList.Project"
"Advanced RF Mapping","2017-BASE_RDTE-2017-DARPA-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.zzz_unzipped-U_RDTE_JustificationBook_Defense_Advanced_Research_Projects_Agency_PB_2017.xml","bebea72a9379a5f11a55abf1cbcce61efaa92d30c275343dbe08af10f8a33e84","2-357a15a3af7ca68fe302eb5844ddd0f24056baf22ca99ae47f6dbd5eef7a8e26","0-5ba55bd930154fe7c449f54e0328336c17c640ac7297a4035b77b5c2182a11a1","root.record.ProjectList.Project"
