path,2013,2014,2015,2016,2017,2018,2019,2020,
JustificationBook.ExternalDocuments.SupplementalDocList.SupplementalDoc,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.CodeBProgramElementList.ProgramElementNumber,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.FacilityList.InactiveFacility,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.FacilityList.LayawayFacility,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.FacilityList.LayawayFacility.FacilityProjectList.FacilityProject,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.FacilityList.ProductionSupportFacility,YES,YES,YES,YES,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.FacilityList.ProductionSupportFacility.FacilityProjectList.FacilityProject,YES,YES,YES,YES,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList.HistoryPlanning,NO,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList.HistoryPlanning,NO,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList.HistoryPlanning,NO,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity,YES,YES,NO,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList.EndItem,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity,YES,YES,NO,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList.EndItem,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.DevelopmentMilestoneList.DevelopmentMilestone,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModelsAffectedList.ModelAffected,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation,NO,NO,NO,NO,NO,YES,NO,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation.KitList.Kit,NO,NO,NO,NO,NO,YES,NO,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.AllPriorYears.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.AllPriorYears.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearFive.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearFive.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearFour.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearFour.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearOne.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearOne.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearThree.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearThree.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearTwo.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.BudgetYearTwo.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.CurrentYear.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.CurrentYear.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.PriorYear.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod.NonOrganicInstallation.InstallationCost.PriorYear.SecondaryDistribution.ComponentList.Component,NO,NO,YES,NO,NO,NO,NO,NO,
